rel_path	frames	fps	first_freeze_s	frozen_frac	noisy_frac	lap_med	lap_max	flag
kanu/CoffeeSetupMug/s0/j0/n0/base	308	20.0		0.0	0.0	813.0	1051.0	OK
kanu/CoffeeSetupMug/s0/j0/n1/base	360	20.0		0.0	0.0	804.0	1071.0	OK
kanu/CoffeeSetupMug/s0/j0/n2/base	360	20.0		0.0	0.0	827.0	1082.0	OK
kanu/CoffeeSetupMug/s0/j0/n3/base	360	20.0		0.0	0.0	854.0	1086.0	OK
kanu/CoffeeSetupMug/s0/j0/n4/base	360	20.0		0.0	0.0	860.0	1085.0	OK
kanu/CoffeeSetupMug/s0/j0/n5/base	360	20.0		0.0	0.0	876.0	1098.0	OK
kanu/CoffeeSetupMug/s0/j0/n6/base	360	20.0		0.0	0.0	882.0	1088.0	OK
kanu/CoffeeSetupMug/s0/j0/n7/base	360	20.0		0.0	0.0	871.0	1094.0	OK
kanu/CoffeeSetupMug/s0/j0/n8/base	360	20.0		0.0	0.0	895.0	1065.0	OK
kanu/CoffeeSetupMug/s0/j0/n9/base	360	20.0		0.0	0.0	1010.0	1112.0	OK
kanu/CoffeeSetupMug/s0/j1/n0/base	360	20.0		0.0	0.0	858.0	1085.0	OK
kanu/CoffeeSetupMug/s0/j1/n1/base	360	20.0		0.0	0.0	922.0	1081.0	OK
kanu/CoffeeSetupMug/s0/j1/n2/base	360	20.0		0.0	0.0	808.0	1126.0	OK
kanu/CoffeeSetupMug/s0/j1/n3/base	360	20.0		0.0	0.0	836.0	1140.0	OK
kanu/CoffeeSetupMug/s0/j1/n4/base	360	20.0		0.0	0.0	796.0	1132.0	OK
kanu/CoffeeSetupMug/s0/j1/n5/base	360	20.0		0.0	0.0	802.0	1143.0	OK
kanu/CoffeeSetupMug/s0/j1/n6/base	360	20.0		0.0	0.0	791.0	1119.0	OK
kanu/CoffeeSetupMug/s0/j1/n7/base	360	20.0		0.0	0.0	915.0	1117.0	OK
kanu/CoffeeSetupMug/s0/j1/n8/base	360	20.0		0.0	0.0	824.0	1078.0	OK
kanu/CoffeeSetupMug/s0/j1/n9/base	360	20.0		0.0	0.0	827.0	1079.0	OK
kanu/CoffeeSetupMug/s0/j2/n0/base	360	20.0		0.0	0.0	827.0	1002.0	OK
kanu/CoffeeSetupMug/s0/j2/n1/base	360	20.0		0.0	0.0	815.0	996.0	OK
kanu/CoffeeSetupMug/s0/j2/n2/base	360	20.0		0.0	0.0	844.0	987.0	OK
kanu/CoffeeSetupMug/s0/j2/n3/base	360	20.0		0.0	0.0	798.0	961.0	OK
kanu/CoffeeSetupMug/s0/j2/n4/base	360	20.0		0.0	0.0	795.0	945.0	OK
kanu/CoffeeSetupMug/s0/j2/n5/base	360	20.0		0.0	0.0	839.0	993.0	OK
kanu/CoffeeSetupMug/s0/j2/n6/base	360	20.0		0.0	0.0	815.0	943.0	OK
kanu/CoffeeSetupMug/s0/j2/n7/base	360	20.0		0.0	0.0	773.0	934.0	OK
kanu/CoffeeSetupMug/s0/j2/n8/base	360	20.0		0.0	0.0	838.0	1046.0	OK
kanu/CoffeeSetupMug/s0/j2/n9/base	360	20.0		0.0	0.0	860.0	987.0	OK
kanu/CoffeeSetupMug/s0/j3/n0/base	360	20.0		0.0	0.0	822.0	995.0	OK
kanu/CoffeeSetupMug/s0/j3/n1/base	360	20.0		0.0	0.0	801.0	1033.0	OK
kanu/CoffeeSetupMug/s0/j3/n2/base	360	20.0		0.0	0.0	784.0	1059.0	OK
kanu/CoffeeSetupMug/s0/j3/n3/base	360	20.0		0.0	0.0	727.0	1057.0	OK
kanu/CoffeeSetupMug/s0/j3/n4/base	360	20.0		0.0	0.0	731.0	1046.0	OK
kanu/CoffeeSetupMug/s0/j3/n5/base	360	20.0		0.0	0.0	738.0	1070.0	OK
kanu/CoffeeSetupMug/s0/j3/n6/base	360	20.0		0.0	0.0	765.0	1074.0	OK
kanu/CoffeeSetupMug/s0/j3/n7/base	360	20.0		0.0	0.0	787.0	1073.0	OK
kanu/CoffeeSetupMug/s0/j3/n8/base	360	20.0		0.0	0.0	834.0	985.0	OK
kanu/CoffeeSetupMug/s0/j3/n9/base	360	20.0		0.0	0.0	753.0	1031.0	OK
kanu/CoffeeSetupMug/s0/j4/n0/base	360	20.0		0.0	0.0	888.0	1007.0	OK
kanu/CoffeeSetupMug/s0/j4/n1/base	360	20.0		0.0	0.0	840.0	1042.0	OK
kanu/CoffeeSetupMug/s0/j4/n2/base	360	20.0		0.0	0.0	898.0	1067.0	OK
kanu/CoffeeSetupMug/s0/j4/n3/base	360	20.0		0.0	0.0	912.0	1037.0	OK
kanu/CoffeeSetupMug/s0/j4/n4/base	360	20.0		0.0	0.0	886.0	1042.0	OK
kanu/CoffeeSetupMug/s0/j4/n5/base	360	20.0		0.0	0.0	897.0	1033.0	OK
kanu/CoffeeSetupMug/s0/j4/n6/base	360	20.0		0.0	0.0	883.0	1021.0	OK
kanu/CoffeeSetupMug/s0/j4/n7/base	360	20.0		0.0	0.0	876.0	1034.0	OK
kanu/CoffeeSetupMug/s0/j4/n8/base	360	20.0		0.0	0.0	764.0	1004.0	OK
kanu/CoffeeSetupMug/s0/j4/n9/base	360	20.0		0.0	0.0	874.0	1010.0	OK
kanu/CoffeeSetupMug/s1/j0/n0/base	360	20.0		0.0	0.0	1035.0	1303.0	OK
kanu/CoffeeSetupMug/s1/j0/n1/base	360	20.0		0.0	0.0	973.0	1306.0	OK
kanu/CoffeeSetupMug/s1/j0/n2/base	360	20.0		0.0	0.0	1097.0	1269.0	OK
kanu/CoffeeSetupMug/s1/j0/n3/base	360	20.0		0.0	0.0	1080.0	1240.0	OK
kanu/CoffeeSetupMug/s1/j0/n4/base	360	20.0		0.0	0.0	1026.0	1232.0	OK
kanu/CoffeeSetupMug/s1/j0/n5/base	360	20.0		0.0	0.0	1118.0	1305.0	OK
kanu/CoffeeSetupMug/s1/j0/n6/base	360	20.0		0.0	0.0	1045.0	1251.0	OK
kanu/CoffeeSetupMug/s1/j0/n7/base	360	20.0		0.0	0.0	1066.0	1253.0	OK
kanu/CoffeeSetupMug/s1/j0/n8/base	360	20.0		0.0	0.0	1055.0	1234.0	OK
kanu/CoffeeSetupMug/s1/j0/n9/base	360	20.0		0.0	0.0	1044.0	1237.0	OK
kanu/CoffeeSetupMug/s1/j1/n0/base	360	20.0		0.0	0.0	1028.0	1309.0	OK
kanu/CoffeeSetupMug/s1/j1/n1/base	360	20.0		0.0	0.0	1021.0	1317.0	OK
kanu/CoffeeSetupMug/s1/j1/n2/base	360	20.0		0.0	0.0	1157.0	1333.0	OK
kanu/CoffeeSetupMug/s1/j1/n3/base	360	20.0		0.0	0.0	1092.0	1305.0	OK
kanu/CoffeeSetupMug/s1/j1/n4/base	360	20.0		0.0	0.0	1092.0	1321.0	OK
kanu/CoffeeSetupMug/s1/j1/n5/base	360	20.0		0.0	0.0	1039.0	1296.0	OK
kanu/CoffeeSetupMug/s1/j1/n6/base	360	20.0		0.0	0.0	1041.0	1310.0	OK
kanu/CoffeeSetupMug/s1/j1/n7/base	360	20.0		0.0	0.0	1084.0	1303.0	OK
kanu/CoffeeSetupMug/s1/j1/n8/base	360	20.0		0.0	0.0	1056.0	1298.0	OK
kanu/CoffeeSetupMug/s1/j1/n9/base	360	20.0		0.0	0.0	1068.0	1293.0	OK
kanu/CoffeeSetupMug/s1/j2/n0/base	360	20.0		0.0	0.0	1086.0	1250.0	OK
