rel_path	success	n_rec	vl_const_onset	flag
kanu/CoffeeSetupMug/s0/j0/n0/base	1	123		OK
kanu/CoffeeSetupMug/s0/j0/n1/base	0	144		OK
kanu/CoffeeSetupMug/s0/j0/n2/base	0	144		OK
kanu/CoffeeSetupMug/s0/j0/n3/base	0	144		OK
kanu/CoffeeSetupMug/s0/j0/n4/base	0	144		OK
kanu/CoffeeSetupMug/s0/j1/n0/base	0	144		OK
kanu/CoffeeSetupMug/s0/j1/n1/base	0	144		OK
kanu/CoffeeSetupMug/s0/j1/n2/base	0	144		OK
kanu/CoffeeSetupMug/s0/j1/n3/base	0	144		OK
kanu/CoffeeSetupMug/s0/j1/n4/base	0	144		OK
kanu/CoffeeSetupMug/s0/j2/n0/base	0	144	38	VL_FROZEN
kanu/CoffeeSetupMug/s0/j2/n1/base	0	144	38	VL_FROZEN
kanu/CoffeeSetupMug/s0/j2/n2/base	0	144	39	VL_FROZEN
kanu/CoffeeSetupMug/s0/j2/n3/base	0	144	41	VL_FROZEN
kanu/CoffeeSetupMug/s0/j2/n4/base	0	144	39	VL_FROZEN
kanu/CoffeeSetupMug/s0/j3/n0/base	0	144		OK
kanu/CoffeeSetupMug/s0/j3/n1/base	0	144		OK
kanu/CoffeeSetupMug/s0/j3/n2/base	0	144		OK
kanu/CoffeeSetupMug/s0/j3/n3/base	0	144		OK
kanu/CoffeeSetupMug/s0/j3/n4/base	0	144		OK
kanu/CoffeeSetupMug/s0/j4/n2/base	0	144		OK
kanu/CoffeeSetupMug/s0/j4/n3/base	0	144		OK
kanu/CoffeeSetupMug/s0/j4/n0/base	0	144		OK
kanu/CoffeeSetupMug/s0/j4/n1/base	0	144		OK
kanu/CoffeeSetupMug/s0/j4/n4/base	0	144		OK
kanu/CoffeeSetupMug/s1/j0/n0/base	0	144		OK
kanu/CoffeeSetupMug/s1/j0/n3/base	0	144		OK
kanu/CoffeeSetupMug/s1/j0/n4/base	0	144		OK
