grid_instruction	slug	machine	scene_idx	jitter_idx	noise_idx	jitter_reset_idx	base_lat	base_back	env_seed	inference_seed	sig	rel_path	pool_succ	pool_fail	tgt_fail	tgt_succ	flag_succ_lt9
OpenDrawer/left	OpenDrawer_left	kanu	0	0	0	0	0.0	0.0	100245	1300000	cdb85ab3baf79962	77e745c37b0f/kanu/OpenDrawer/left/s0/j0/n0/base	30	10	4	6	0
OpenDrawer/left	OpenDrawer_left	kanu	0	0	1	0	0.0	0.0	100245	1300001	77ea292cceb34b47	77e745c37b0f/kanu/OpenDrawer/left/s0/j0/n1/base	30	10	4	6	0
OpenDrawer/left	OpenDrawer_left	kanu	0	0	3	0	0.0	0.0	100245	1300003	31d3ffe0b8b1bf05	77e745c37b0f/kanu/OpenDrawer/left/s0/j0/n3/base	30	10	4	6	0
OpenDrawer/left	OpenDrawer_left	kanu	0	0	4	0	0.0	0.0	100245	1300004	c55b48cdc47bd4ba	77e745c37b0f/kanu/OpenDrawer/left/s0/j0/n4/base	30	10	4	6	0
OpenDrawer/left	OpenDrawer_left	kanu	0	1	0	1	0.0	0.05	100245	1300000	33e89d31f4e6be51	77e745c37b0f/kanu/OpenDrawer/left/s0/j1/n0/base	27	13	1	9	0
OpenDrawer/left	OpenDrawer_left	kanu	0	2	4	2	0.0	0.1	100245	1300004	3d1929f83bbaef8d	77e745c37b0f/kanu/OpenDrawer/left/s0/j2/n4/base	30	10	4	6	0
OpenDrawer/left	OpenDrawer_left	kanu	0	2	5	2	0.0	0.1	100245	1300005	ca6ccf44e93997d5	77e745c37b0f/kanu/OpenDrawer/left/s0/j2/n5/base	30	10	4	6	0
OpenDrawer/left	OpenDrawer_left	kanu	0	2	6	2	0.0	0.1	100245	1300006	6d526f1095b4a4c8	77e745c37b0f/kanu/OpenDrawer/left/s0/j2/n6/base	30	10	4	6	0
OpenDrawer/left	OpenDrawer_left	kanu	0	2	7	2	0.0	0.1	100245	1300007	316a8ef24534721e	77e745c37b0f/kanu/OpenDrawer/left/s0/j2/n7/base	30	10	4	6	0
OpenDrawer/left	OpenDrawer_left	kanu	0	3	0	4	0.0	0.05	100245	1300000	e263f8df27b8412a	77e745c37b0f/kanu/OpenDrawer/left/s0/j3/n0/base	31	9	5	5	0
OpenDrawer/left	OpenDrawer_left	kanu	0	3	1	4	0.0	0.05	100245	1300001	c5c658fa80c1ea47	77e745c37b0f/kanu/OpenDrawer/left/s0/j3/n1/base	31	9	5	5	0
OpenDrawer/left	OpenDrawer_left	kanu	0	3	3	4	0.0	0.05	100245	1300003	3bc7c83f7532a02b	77e745c37b0f/kanu/OpenDrawer/left/s0/j3/n3/base	31	9	5	5	0
OpenDrawer/left	OpenDrawer_left	kanu	0	3	4	4	0.0	0.05	100245	1300004	6fd9aa3a7812999b	77e745c37b0f/kanu/OpenDrawer/left/s0/j3/n4/base	31	9	5	5	0
OpenDrawer/left	OpenDrawer_left	kanu	0	3	9	4	0.0	0.05	100245	1300009	2c4cea8177b53f60	77e745c37b0f/kanu/OpenDrawer/left/s0/j3/n9/base	31	9	5	5	0
OpenDrawer/right	OpenDrawer_right	kanu	1	0	0	2	0.0	0.0	100149	1300000	a2381e15ec508e60	77e745c37b0f/kanu/OpenDrawer/right/s1/j0/n0/base	2	38	3	7	1
OpenDrawer/right	OpenDrawer_right	kanu	1	0	6	2	0.0	0.0	100149	1300006	078040fa3813044a	77e745c37b0f/kanu/OpenDrawer/right/s1/j0/n6/base	2	38	3	7	1
OpenDrawer/right	OpenDrawer_right	kanu	1	0	9	2	0.0	0.0	100149	1300009	22c3aaa2a451d010	77e745c37b0f/kanu/OpenDrawer/right/s1/j0/n9/base	2	38	3	7	1
OpenDrawer/right	OpenDrawer_right	kanu	1	1	0	4	0.0	0.05	100149	1300000	7cbd6cd3a3beac75	77e745c37b0f/kanu/OpenDrawer/right/s1/j1/n0/base	9	31	10	0	0
OpenDrawer/right	OpenDrawer_right	kanu	1	1	1	4	0.0	0.05	100149	1300001	9be4dbe9200f62a8	77e745c37b0f/kanu/OpenDrawer/right/s1/j1/n1/base	9	31	10	0	0
OpenDrawer/right	OpenDrawer_right	kanu	1	1	2	4	0.0	0.05	100149	1300002	f3ecf81bd37b5b66	77e745c37b0f/kanu/OpenDrawer/right/s1/j1/n2/base	9	31	10	0	0
OpenDrawer/right	OpenDrawer_right	kanu	1	1	3	4	0.0	0.05	100149	1300003	ab7151dd312929ba	77e745c37b0f/kanu/OpenDrawer/right/s1/j1/n3/base	9	31	10	0	0
OpenDrawer/right	OpenDrawer_right	kanu	1	1	4	4	0.0	0.05	100149	1300004	81a4649e001c2129	77e745c37b0f/kanu/OpenDrawer/right/s1/j1/n4/base	9	31	10	0	0
OpenDrawer/right	OpenDrawer_right	kanu	1	1	5	4	0.0	0.05	100149	1300005	297b3e6272f77900	77e745c37b0f/kanu/OpenDrawer/right/s1/j1/n5/base	9	31	10	0	0
OpenDrawer/right	OpenDrawer_right	kanu	1	1	6	4	0.0	0.05	100149	1300006	d2bc40b05a4da32c	77e745c37b0f/kanu/OpenDrawer/right/s1/j1/n6/base	9	31	10	0	0
OpenDrawer/right	OpenDrawer_right	kanu	1	1	7	4	0.0	0.05	100149	1300007	6165bf1c2ca46b93	77e745c37b0f/kanu/OpenDrawer/right/s1/j1/n7/base	9	31	10	0	0
OpenDrawer/right	OpenDrawer_right	kanu	1	1	8	4	0.0	0.05	100149	1300008	d24d51a1160b467e	77e745c37b0f/kanu/OpenDrawer/right/s1/j1/n8/base	9	31	10	0	0
OpenDrawer/right	OpenDrawer_right	kanu	1	1	9	4	0.0	0.05	100149	1300009	9acfc1e40e2d4683	77e745c37b0f/kanu/OpenDrawer/right/s1/j1/n9/base	9	31	10	0	0
OpenDrawer/right	OpenDrawer_right	kanu	1	2	0	9	0.0	0.1	100149	1300000	936000094f4b377b	77e745c37b0f/kanu/OpenDrawer/right/s1/j2/n0/base	9	31	10	0	0
OpenDrawer/right	OpenDrawer_right	kanu	1	2	1	9	0.0	0.1	100149	1300001	73d448986f73273c	77e745c37b0f/kanu/OpenDrawer/right/s1/j2/n1/base	9	31	10	0	0
OpenDrawer/right	OpenDrawer_right	kanu	1	2	2	9	0.0	0.1	100149	1300002	ebcb5b40457a5689	77e745c37b0f/kanu/OpenDrawer/right/s1/j2/n2/base	9	31	10	0	0
OpenDrawer/right	OpenDrawer_right	kanu	1	2	3	9	0.0	0.1	100149	1300003	9e0ce8c45b703d97	77e745c37b0f/kanu/OpenDrawer/right/s1/j2/n3/base	9	31	10	0	0
OpenDrawer/right	OpenDrawer_right	kanu	1	2	4	9	0.0	0.1	100149	1300004	2b9556b0e8ee280c	77e745c37b0f/kanu/OpenDrawer/right/s1/j2/n4/base	9	31	10	0	0
OpenDrawer/right	OpenDrawer_right	kanu	1	2	5	9	0.0	0.1	100149	1300005	209d9ddc04385264	77e745c37b0f/kanu/OpenDrawer/right/s1/j2/n5/base	9	31	10	0	0
OpenDrawer/right	OpenDrawer_right	kanu	1	2	6	9	0.0	0.1	100149	1300006	0724b6472474ff86	77e745c37b0f/kanu/OpenDrawer/right/s1/j2/n6/base	9	31	10	0	0
OpenDrawer/right	OpenDrawer_right	kanu	1	2	7	9	0.0	0.1	100149	1300007	f32eb255568ec960	77e745c37b0f/kanu/OpenDrawer/right/s1/j2/n7/base	9	31	10	0	0
