grid_instruction	slug	machine	scene_idx	jitter_idx	n_total	tgt_succ	tgt_fail	pool_succ	pool_fail	n_pool	selected	reason
CoffeeSetupMug	CoffeeSetupMug	kanu	0	0	10	1	9	0	40	49	0	excluded
CoffeeSetupMug	CoffeeSetupMug	kanu	0	1	10	0	10	1	39	50	0	excluded
CoffeeSetupMug	CoffeeSetupMug	kanu	0	2	10	0	10	1	39	50	0	excluded
CoffeeSetupMug	CoffeeSetupMug	kanu	0	3	10	0	10	1	39	50	0	excluded
CoffeeSetupMug	CoffeeSetupMug	kanu	0	4	10	0	10	1	39	50	0	excluded
DishwasherRack/out-left	DishwasherRack_out-left	worker1	0	0	10	0	10	0	40	50	0	pool_succ<1
DishwasherRack/out-left	DishwasherRack_out-left	worker1	0	1	10	0	10	0	40	50	0	pool_succ<1
DishwasherRack/out-left	DishwasherRack_out-left	worker1	0	2	10	0	10	0	40	50	0	pool_succ<1
DishwasherRack/out-left	DishwasherRack_out-left	worker1	0	3	10	0	10	0	40	50	0	pool_succ<1
DishwasherRack/out-left	DishwasherRack_out-left	worker1	0	4	10	0	10	0	40	50	0	pool_succ<1
DishwasherRack/out-right	DishwasherRack_out-right	worker1	1	0	10	10	0	23	17	40	0	tgt_fail<1
DishwasherRack/out-right	DishwasherRack_out-right	worker1	1	1	10	10	0	23	17	40	0	tgt_fail<1
DishwasherRack/out-right	DishwasherRack_out-right	worker1	1	2	10	5	5	28	12	45	1	
DishwasherRack/out-right	DishwasherRack_out-right	worker1	1	3	10	7	3	26	14	43	1	
DishwasherRack/out-right	DishwasherRack_out-right	worker1	1	4	10	1	9	32	8	49	1	
OpenDrawer/left	OpenDrawer_left	kanu	0	0	10	6	4	30	10	44	1	
OpenDrawer/left	OpenDrawer_left	kanu	0	1	10	9	1	27	13	41	1	
OpenDrawer/left	OpenDrawer_left	kanu	0	2	10	6	4	30	10	44	1	
OpenDrawer/left	OpenDrawer_left	kanu	0	3	10	5	5	31	9	45	1	
OpenDrawer/left	OpenDrawer_left	kanu	0	4	10	10	0	26	14	40	0	tgt_fail<1
OpenDrawer/left	OpenDrawer_left	kanu	1	0	10	10	0	4	36	40	0	tgt_fail<1
OpenDrawer/left	OpenDrawer_left	kanu	1	1	10	0	10	14	26	50	1	
OpenDrawer/left	OpenDrawer_left	kanu	1	2	10	0	10	14	26	50	1	
OpenDrawer/left	OpenDrawer_left	kanu	1	3	10	4	6	10	30	46	1	
OpenDrawer/left	OpenDrawer_left	kanu	1	4	10	0	10	14	26	50	1	
OpenDrawer/right	OpenDrawer_right	kanu	1	0	10	7	3	2	38	43	1	
OpenDrawer/right	OpenDrawer_right	kanu	1	1	10	0	10	9	31	50	1	
OpenDrawer/right	OpenDrawer_right	kanu	1	2	10	0	10	9	31	50	1	
OpenDrawer/right	OpenDrawer_right	kanu	1	3	10	0	10	9	31	50	1	
OpenDrawer/right	OpenDrawer_right	kanu	1	4	10	2	8	7	33	48	1	
OvenRack/out-left	OvenRack_out-left	worker1	0	0	10	6	4	38	2	44	0	pool_fail<3
OvenRack/out-left	OvenRack_out-left	worker1	0	1	10	10	0	34	6	40	0	tgt_fail<1
OvenRack/out-left	OvenRack_out-left	worker1	0	2	10	10	0	34	6	40	0	tgt_fail<1
OvenRack/out-left	OvenRack_out-left	worker1	0	3	10	9	1	35	5	41	1	
OvenRack/out-left	OvenRack_out-left	worker1	0	4	10	9	1	35	5	41	1	
OvenRack/out-left	OvenRack_out-left	worker1	1	0	10	3	7	22	18	47	1	
OvenRack/out-left	OvenRack_out-left	worker1	1	1	10	6	4	19	21	44	1	
OvenRack/out-left	OvenRack_out-left	worker1	1	2	10	4	6	21	19	46	1	
OvenRack/out-left	OvenRack_out-left	worker1	1	3	10	10	0	15	25	40	0	tgt_fail<1
OvenRack/out-left	OvenRack_out-left	worker1	1	4	10	2	8	23	17	48	1	
OvenRack/out-left	OvenRack_out-left	worker1	2	0	10	10	0	37	3	40	0	tgt_fail<1
OvenRack/out-left	OvenRack_out-left	worker1	2	1	10	7	3	40	0	43	0	pool_fail<3
OvenRack/out-left	OvenRack_out-left	worker1	2	2	10	10	0	37	3	40	0	tgt_fail<1
OvenRack/out-left	OvenRack_out-left	worker1	2	3	10	10	0	37	3	40	0	tgt_fail<1
OvenRack/out-left	OvenRack_out-left	worker1	2	4	10	10	0	37	3	40	0	tgt_fail<1
OvenRack/out-right	OvenRack_out-right	worker1	0	0	10	0	10	0	40	50	0	pool_succ<1
OvenRack/out-right	OvenRack_out-right	worker1	0	1	10	0	10	0	40	50	0	pool_succ<1
OvenRack/out-right	OvenRack_out-right	worker1	0	2	10	0	10	0	40	50	0	pool_succ<1
OvenRack/out-right	OvenRack_out-right	worker1	0	3	10	0	10	0	40	50	0	pool_succ<1
OvenRack/out-right	OvenRack_out-right	worker1	0	4	10	0	10	0	40	50	0	pool_succ<1
OvenRack/out-right	OvenRack_out-right	worker1	1	0	10	10	0	40	0	40	0	pool_fail<3
OvenRack/out-right	OvenRack_out-right	worker1	1	1	10	10	0	40	0	40	0	pool_fail<3
OvenRack/out-right	OvenRack_out-right	worker1	1	2	10	10	0	40	0	40	0	pool_fail<3
OvenRack/out-right	OvenRack_out-right	worker1	1	3	10	10	0	40	0	40	0	pool_fail<3
