grid_instruction	slug	machine	scene_idx	jitter_idx	n_total	tgt_succ	tgt_fail	pool_succ	pool_fail	n_pool	selected	reason
CoffeeSetupMug	CoffeeSetupMug	kanu	0	0	10	1	9	0	40	49	0	excluded
CoffeeSetupMug	CoffeeSetupMug	kanu	0	1	10	0	10	1	39	50	0	excluded
CoffeeSetupMug	CoffeeSetupMug	kanu	0	2	10	0	10	1	39	50	0	excluded
CoffeeSetupMug	CoffeeSetupMug	kanu	0	3	10	0	10	1	39	50	0	excluded
CoffeeSetupMug	CoffeeSetupMug	kanu	0	4	10	0	10	1	39	50	0	excluded
CoffeeSetupMug	CoffeeSetupMug	kanu	1	0	10	0	10	0	40	50	0	excluded
CoffeeSetupMug	CoffeeSetupMug	kanu	1	1	10	0	10	0	40	50	0	excluded
CoffeeSetupMug	CoffeeSetupMug	kanu	1	2	10	0	10	0	40	50	0	excluded
CoffeeSetupMug	CoffeeSetupMug	kanu	1	3	10	0	10	0	40	50	0	excluded
CoffeeSetupMug	CoffeeSetupMug	kanu	1	4	10	0	10	0	40	50	0	excluded
CoffeeSetupMug	CoffeeSetupMug	kanu	2	0	10	0	10	0	40	50	0	excluded
CoffeeSetupMug	CoffeeSetupMug	kanu	2	1	10	0	10	0	40	50	0	excluded
CoffeeSetupMug	CoffeeSetupMug	kanu	2	2	10	0	10	0	40	50	0	excluded
CoffeeSetupMug	CoffeeSetupMug	kanu	2	3	10	0	10	0	40	50	0	excluded
CoffeeSetupMug	CoffeeSetupMug	kanu	2	4	10	0	10	0	40	50	0	excluded
DishwasherRack/out-left	DishwasherRack_out-left	worker1	0	0	10	0	10	0	40	50	0	pool_succ<1
DishwasherRack/out-left	DishwasherRack_out-left	worker1	0	1	10	0	10	0	40	50	0	pool_succ<1
DishwasherRack/out-left	DishwasherRack_out-left	worker1	0	2	10	0	10	0	40	50	0	pool_succ<1
DishwasherRack/out-left	DishwasherRack_out-left	worker1	0	3	10	0	10	0	40	50	0	pool_succ<1
DishwasherRack/out-left	DishwasherRack_out-left	worker1	0	4	10	0	10	0	40	50	0	pool_succ<1
DishwasherRack/out-left	DishwasherRack_out-left	worker1	1	0	10	4	6	1	39	46	1	
DishwasherRack/out-left	DishwasherRack_out-left	worker1	1	1	10	0	10	5	35	50	1	
DishwasherRack/out-left	DishwasherRack_out-left	worker1	1	2	10	1	9	4	36	49	1	
DishwasherRack/out-left	DishwasherRack_out-left	worker1	1	3	10	0	10	5	35	50	1	
DishwasherRack/out-left	DishwasherRack_out-left	worker1	1	4	10	0	10	5	35	50	1	
DishwasherRack/out-left	DishwasherRack_out-left	worker1	2	0	10	0	10	0	40	50	0	pool_succ<1
DishwasherRack/out-left	DishwasherRack_out-left	worker1	2	1	10	0	10	0	40	50	0	pool_succ<1
DishwasherRack/out-left	DishwasherRack_out-left	worker1	2	2	10	0	10	0	40	50	0	pool_succ<1
DishwasherRack/out-left	DishwasherRack_out-left	worker1	2	3	10	0	10	0	40	50	0	pool_succ<1
DishwasherRack/out-left	DishwasherRack_out-left	worker1	2	4	10	0	10	0	40	50	0	pool_succ<1
DishwasherRack/out-right	DishwasherRack_out-right	worker1	0	0	10	0	10	0	40	50	0	pool_succ<1
DishwasherRack/out-right	DishwasherRack_out-right	worker1	0	1	10	0	10	0	40	50	0	pool_succ<1
DishwasherRack/out-right	DishwasherRack_out-right	worker1	0	2	10	0	10	0	40	50	0	pool_succ<1
DishwasherRack/out-right	DishwasherRack_out-right	worker1	0	3	10	0	10	0	40	50	0	pool_succ<1
DishwasherRack/out-right	DishwasherRack_out-right	worker1	0	4	10	0	10	0	40	50	0	pool_succ<1
DishwasherRack/out-right	DishwasherRack_out-right	worker1	1	0	10	10	0	23	17	40	0	tgt_fail<1
DishwasherRack/out-right	DishwasherRack_out-right	worker1	1	1	10	10	0	23	17	40	0	tgt_fail<1
DishwasherRack/out-right	DishwasherRack_out-right	worker1	1	2	10	5	5	28	12	45	1	
DishwasherRack/out-right	DishwasherRack_out-right	worker1	1	3	10	7	3	26	14	43	1	
DishwasherRack/out-right	DishwasherRack_out-right	worker1	1	4	10	1	9	32	8	49	1	
DishwasherRack/out-right	DishwasherRack_out-right	worker1	2	0	10	10	0	31	9	40	0	tgt_fail<1
DishwasherRack/out-right	DishwasherRack_out-right	worker1	2	1	10	10	0	31	9	40	0	tgt_fail<1
DishwasherRack/out-right	DishwasherRack_out-right	worker1	2	2	10	9	1	32	8	41	1	
DishwasherRack/out-right	DishwasherRack_out-right	worker1	2	3	10	6	4	35	5	44	1	
DishwasherRack/out-right	DishwasherRack_out-right	worker1	2	4	10	6	4	35	5	44	1	
OpenDrawer/left	OpenDrawer_left	kanu	0	0	10	6	4	30	10	44	1	
OpenDrawer/left	OpenDrawer_left	kanu	0	1	10	9	1	27	13	41	1	
OpenDrawer/left	OpenDrawer_left	kanu	0	2	10	6	4	30	10	44	1	
OpenDrawer/left	OpenDrawer_left	kanu	0	3	10	5	5	31	9	45	1	
OpenDrawer/left	OpenDrawer_left	kanu	0	4	10	10	0	26	14	40	0	tgt_fail<1
OpenDrawer/left	OpenDrawer_left	kanu	1	0	10	10	0	4	36	40	0	tgt_fail<1
OpenDrawer/left	OpenDrawer_left	kanu	1	1	10	0	10	14	26	50	1	
