plan_id	machine	grid_instruction	scene_idx	jitter_idx	noise_idx	armsig	kind	sig	pkl_sha256	model	version	ckpt	task	task_id	instruction	env_name	env_seed	inference_seed	episode_idx	success	steps	n_inferences	n_action_steps	chunk_len	has_pkl	jitter_reset_idx	base_lat	base_back	layout_id	style_id	side	lang	legacy	capture_token_mode	feature_kind	feature_axes	record_shape	capture_layers	plan_name	machine_source	ckpt_source	meta_source	rel_path	artifact_slug	artifact_instruction
4ab360df2b71	worker1	DishwasherRack/out-left	3	0	0	base	activation	c8079b66273abe2a	c8079b66273abe2afa58452bdf2eb4625082b8ca5c1b0eb496edf59c9455aa59	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Fully slide the top dishwasher rack out.	robocasa_panda_omron/SlideDishwasherRack_PandaOmron_Env	100031	1300000	0	0			5		1	0	0.0	0.0	8	8	left	Fully slide the top dishwasher rack out.	0	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	"[""layer"",""denoise_step"",""model_token"",""feature_dim""]"	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_topup_remaining_20260909	grid_coord	meta	meta_json	4ab360df2b71/worker1/DishwasherRack/out-left/s3/j0/n0/base	DishwasherRack_out-left	DishwasherRack/out-left
4ab360df2b71	worker1	DishwasherRack/out-left	3	0	1	base	activation	03013c6b1b408e8e	03013c6b1b408e8efdc09db74e285e96764629e94cae9219373122e6eb5d1523	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Fully slide the top dishwasher rack out.	robocasa_panda_omron/SlideDishwasherRack_PandaOmron_Env	100031	1300001	0	1			5		1	0	0.0	0.0	8	8	left	Fully slide the top dishwasher rack out.	0	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	"[""layer"",""denoise_step"",""model_token"",""feature_dim""]"	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_topup_remaining_20260909	grid_coord	meta	meta_json	4ab360df2b71/worker1/DishwasherRack/out-left/s3/j0/n1/base	DishwasherRack_out-left	DishwasherRack/out-left
4ab360df2b71	worker1	DishwasherRack/out-left	3	0	2	base	activation	13d4c10d54a72959	13d4c10d54a729595629db3cd1d8d99e20f40c508683bfe5cce5a63e4f1c5778	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Fully slide the top dishwasher rack out.	robocasa_panda_omron/SlideDishwasherRack_PandaOmron_Env	100031	1300002	0	1			5		1	0	0.0	0.0	8	8	left	Fully slide the top dishwasher rack out.	0	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	"[""layer"",""denoise_step"",""model_token"",""feature_dim""]"	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_topup_remaining_20260909	grid_coord	meta	meta_json	4ab360df2b71/worker1/DishwasherRack/out-left/s3/j0/n2/base	DishwasherRack_out-left	DishwasherRack/out-left
4ab360df2b71	worker1	DishwasherRack/out-left	3	0	3	base	activation	047201ae0c363cac	047201ae0c363cac6069d758060d7a6d9b2aa2b88380022bd43ea4ecb0af454d	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Fully slide the top dishwasher rack out.	robocasa_panda_omron/SlideDishwasherRack_PandaOmron_Env	100031	1300003	0	0			5		1	0	0.0	0.0	8	8	left	Fully slide the top dishwasher rack out.	0	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	"[""layer"",""denoise_step"",""model_token"",""feature_dim""]"	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_topup_remaining_20260909	grid_coord	meta	meta_json	4ab360df2b71/worker1/DishwasherRack/out-left/s3/j0/n3/base	DishwasherRack_out-left	DishwasherRack/out-left
4ab360df2b71	worker1	DishwasherRack/out-left	3	0	4	base	activation	641cdd94970b0cce	641cdd94970b0ccee4ac09cab9998c3ffebebe4e3d6173e83a4000f47bba4b03	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Fully slide the top dishwasher rack out.	robocasa_panda_omron/SlideDishwasherRack_PandaOmron_Env	100031	1300004	0	1			5		1	0	0.0	0.0	8	8	left	Fully slide the top dishwasher rack out.	0	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	"[""layer"",""denoise_step"",""model_token"",""feature_dim""]"	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_topup_remaining_20260909	grid_coord	meta	meta_json	4ab360df2b71/worker1/DishwasherRack/out-left/s3/j0/n4/base	DishwasherRack_out-left	DishwasherRack/out-left
4ab360df2b71	worker1	DishwasherRack/out-left	3	0	5	base	activation	cd00c7c3c0eb4139	cd00c7c3c0eb41398856d6899def4790106430865115ce485723773e5af45f75	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Fully slide the top dishwasher rack out.	robocasa_panda_omron/SlideDishwasherRack_PandaOmron_Env	100031	1300005	0	1			5		1	0	0.0	0.0	8	8	left	Fully slide the top dishwasher rack out.	0	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	"[""layer"",""denoise_step"",""model_token"",""feature_dim""]"	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_topup_remaining_20260909	grid_coord	meta	meta_json	4ab360df2b71/worker1/DishwasherRack/out-left/s3/j0/n5/base	DishwasherRack_out-left	DishwasherRack/out-left
4ab360df2b71	worker1	DishwasherRack/out-left	3	0	6	base	activation	515717994c54d6a0	515717994c54d6a05152c578ac34fc23b6f1f25dff4ec1131a9d1eca98d3467d	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Fully slide the top dishwasher rack out.	robocasa_panda_omron/SlideDishwasherRack_PandaOmron_Env	100031	1300006	0	1			5		1	0	0.0	0.0	8	8	left	Fully slide the top dishwasher rack out.	0	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	"[""layer"",""denoise_step"",""model_token"",""feature_dim""]"	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_topup_remaining_20260909	grid_coord	meta	meta_json	4ab360df2b71/worker1/DishwasherRack/out-left/s3/j0/n6/base	DishwasherRack_out-left	DishwasherRack/out-left
4ab360df2b71	worker1	DishwasherRack/out-left	3	0	7	base	activation	284f3f5c39d893d4	284f3f5c39d893d4c67feb5382854e8709adfac9d37a93303cdf8ddc9c1e0797	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Fully slide the top dishwasher rack out.	robocasa_panda_omron/SlideDishwasherRack_PandaOmron_Env	100031	1300007	0	1			5		1	0	0.0	0.0	8	8	left	Fully slide the top dishwasher rack out.	0	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	"[""layer"",""denoise_step"",""model_token"",""feature_dim""]"	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_topup_remaining_20260909	grid_coord	meta	meta_json	4ab360df2b71/worker1/DishwasherRack/out-left/s3/j0/n7/base	DishwasherRack_out-left	DishwasherRack/out-left
4ab360df2b71	worker1	DishwasherRack/out-left	3	0	8	base	activation	2ebd3f7c9efb7e44	2ebd3f7c9efb7e447508c24aaedcec92563f2d93f82cf3dfd488c812225b9168	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Fully slide the top dishwasher rack out.	robocasa_panda_omron/SlideDishwasherRack_PandaOmron_Env	100031	1300008	0	1			5		1	0	0.0	0.0	8	8	left	Fully slide the top dishwasher rack out.	0	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	"[""layer"",""denoise_step"",""model_token"",""feature_dim""]"	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_topup_remaining_20260909	grid_coord	meta	meta_json	4ab360df2b71/worker1/DishwasherRack/out-left/s3/j0/n8/base	DishwasherRack_out-left	DishwasherRack/out-left
4ab360df2b71	worker1	DishwasherRack/out-left	3	0	9	base	activation	2c4ee4d0f67a11bd	2c4ee4d0f67a11bd65d1debd1765ee77023460af5b7c2f6f5c94ffcca967933b	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Fully slide the top dishwasher rack out.	robocasa_panda_omron/SlideDishwasherRack_PandaOmron_Env	100031	1300009	0	1			5		1	0	0.0	0.0	8	8	left	Fully slide the top dishwasher rack out.	0	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	"[""layer"",""denoise_step"",""model_token"",""feature_dim""]"	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_topup_remaining_20260909	grid_coord	meta	meta_json	4ab360df2b71/worker1/DishwasherRack/out-left/s3/j0/n9/base	DishwasherRack_out-left	DishwasherRack/out-left
