slug_old	slug_new	instruction_old	instruction_new	scene	jitter	machine	n_fail	n_succ
OpenDrawer_left	OpenDrawer_left	OpenDrawer/left	OpenDrawer/left	0	0	kanu	4	6
OpenDrawer_left	OpenDrawer_left	OpenDrawer/left	OpenDrawer/left	0	1	kanu	1	9
OpenDrawer_left	OpenDrawer_left	OpenDrawer/left	OpenDrawer/left	0	2	kanu	4	6
OpenDrawer_left	OpenDrawer_left	OpenDrawer/left	OpenDrawer/left	0	3	kanu	5	5
OpenDrawer_left	OpenDrawer_left	OpenDrawer/left	OpenDrawer/left	2	1	kanu	7	3
OpenDrawer_left	OpenDrawer_left	OpenDrawer/left	OpenDrawer/left	2	2	kanu	4	6
OpenDrawer_left	OpenDrawer_left	OpenDrawer/left	OpenDrawer/left	2	3	kanu	4	6
OpenDrawer_left	OpenDrawer_left	OpenDrawer/left	OpenDrawer/left	2	4	kanu	2	8
OpenDrawer_right	OpenDrawer_right	OpenDrawer/right	OpenDrawer/right	1	1	kanu	10	0
OpenDrawer_right	OpenDrawer_right	OpenDrawer/right	OpenDrawer/right	1	2	kanu	10	0
OpenDrawer_right	OpenDrawer_right	OpenDrawer/right	OpenDrawer/right	1	3	kanu	10	0
DishwasherRack_out-right	DishwasherRack_out-left	DishwasherRack/out-right	DishwasherRack/out-left	1	2	worker1	5	5
DishwasherRack_out-right	DishwasherRack_out-left	DishwasherRack/out-right	DishwasherRack/out-left	1	3	worker1	3	7
DishwasherRack_out-right	DishwasherRack_out-left	DishwasherRack/out-right	DishwasherRack/out-left	1	4	worker1	9	1
DishwasherRack_out-right	DishwasherRack_out-left	DishwasherRack/out-right	DishwasherRack/out-left	2	2	worker1	1	9
DishwasherRack_out-right	DishwasherRack_out-left	DishwasherRack/out-right	DishwasherRack/out-left	2	3	worker1	4	6
DishwasherRack_out-right	DishwasherRack_out-left	DishwasherRack/out-right	DishwasherRack/out-left	2	4	worker1	4	6
OvenRack_out-left	OvenRack_out-right	OvenRack/out-left	OvenRack/out-right	0	3	worker1	1	9
OvenRack_out-left	OvenRack_out-right	OvenRack/out-left	OvenRack/out-right	0	4	worker1	1	9
OvenRack_out-left	OvenRack_out-right	OvenRack/out-left	OvenRack/out-right	1	0	worker1	7	3
OvenRack_out-left	OvenRack_out-right	OvenRack/out-left	OvenRack/out-right	1	1	worker1	4	6
OvenRack_out-left	OvenRack_out-right	OvenRack/out-left	OvenRack/out-right	1	2	worker1	6	4
OvenRack_out-left	OvenRack_out-right	OvenRack/out-left	OvenRack/out-right	1	4	worker1	8	2
PPCC_bread	PPCC_bread	PPCC/bread	PPCC/bread	0	0	worker2	6	4
PPCC_bread	PPCC_bread	PPCC/bread	PPCC/bread	0	1	worker2	2	8
PPCC_bread	PPCC_bread	PPCC/bread	PPCC/bread	0	2	worker2	4	6
PPCC_bread	PPCC_bread	PPCC/bread	PPCC/bread	0	3	worker2	10	0
PPCC_bread	PPCC_bread	PPCC/bread	PPCC/bread	0	4	worker2	6	4
PPCC_candle	PPCC_candle	PPCC/candle	PPCC/candle	0	0	worker2	2	8
PPCC_candle	PPCC_candle	PPCC/candle	PPCC/candle	0	1	worker2	4	6
PPCC_candle	PPCC_candle	PPCC/candle	PPCC/candle	0	2	worker2	2	8
PPCC_candle	PPCC_candle	PPCC/candle	PPCC/candle	0	3	worker2	9	1
PPCC_candle	PPCC_candle	PPCC/candle	PPCC/candle	1	0	worker2	4	6
PPCC_candle	PPCC_candle	PPCC/candle	PPCC/candle	1	1	worker2	1	9
PPCC_candle	PPCC_candle	PPCC/candle	PPCC/candle	1	2	worker2	1	9
PPCC_candle	PPCC_candle	PPCC/candle	PPCC/candle	1	3	worker2	1	9
PPCC_candle	PPCC_candle	PPCC/candle	PPCC/candle	1	4	worker2	4	6
PPCC_candle	PPCC_candle	PPCC/candle	PPCC/candle	2	0	worker2	4	6
PPCC_candle	PPCC_candle	PPCC/candle	PPCC/candle	2	2	worker2	3	7
PPCC_candle	PPCC_candle	PPCC/candle	PPCC/candle	2	3	worker2	4	6
PPCC_candle	PPCC_candle	PPCC/candle	PPCC/candle	2	4	worker2	3	7
PPCC_jug	PPCC_jug	PPCC/jug	PPCC/jug	1	0	worker2	9	1
PPCC_jug	PPCC_jug	PPCC/jug	PPCC/jug	1	1	worker2	7	3
PPCC_jug	PPCC_jug	PPCC/jug	PPCC/jug	1	2	worker2	10	0
PPCC_jug	PPCC_jug	PPCC/jug	PPCC/jug	1	3	worker2	5	5
PPCC_jug	PPCC_jug	PPCC/jug	PPCC/jug	1	4	worker2	4	6
PPCC_marshmallow	PPCC_marshmallow	PPCC/marshmallow	PPCC/marshmallow	0	0	worker2	2	8
PPCC_marshmallow	PPCC_marshmallow	PPCC/marshmallow	PPCC/marshmallow	0	3	worker2	3	7
PPCC_marshmallow	PPCC_marshmallow	PPCC/marshmallow	PPCC/marshmallow	0	4	worker2	1	9
