cell_index	cell_id	task	env_name	canonical_instruction	target_episodes	seed_search_start
0	ppcs_onion	PickPlaceCounterToStove	robocasa_panda_omron/PickPlaceCounterToStove_PandaOmron_Env	Pick the onion from the plate and place it in the pan.	50	100000
1	ppcs_apple	PickPlaceCounterToStove	robocasa_panda_omron/PickPlaceCounterToStove_PandaOmron_Env	Pick the apple from the plate and place it in the pan.	50	100000
2	ppdc_tongs	PickPlaceDrawerToCounter	robocasa_panda_omron/PickPlaceDrawerToCounter_PandaOmron_Env	Pick the tongs from the drawer and place it on the counter.	50	100000
3	ppdc_wooden_spoon	PickPlaceDrawerToCounter	robocasa_panda_omron/PickPlaceDrawerToCounter_PandaOmron_Env	Pick the wooden spoon from the drawer and place it on the counter.	50	100000
4	ppcc_potato	PickPlaceCounterToCabinet	robocasa_panda_omron/PickPlaceCounterToCabinet_PandaOmron_Env	Pick the potato from the counter and place it in the cabinet.	50	100000
5	ppcc_bread	PickPlaceCounterToCabinet	robocasa_panda_omron/PickPlaceCounterToCabinet_PandaOmron_Env	Pick the bread from the counter and place it in the cabinet.	50	100000
6	open_cabinet_door	OpenCabinet	robocasa_panda_omron/OpenCabinet_PandaOmron_Env	Open the cabinet door.	50	100000
7	open_drawer_right	OpenDrawer	robocasa_panda_omron/OpenDrawer_PandaOmron_Env	Open the right drawer.	50	100000
8	open_drawer_left	OpenDrawer	robocasa_panda_omron/OpenDrawer_PandaOmron_Env	Open the left drawer.	50	100000
9	close_toaster_oven_door	CloseToasterOvenDoor	robocasa_panda_omron/CloseToasterOvenDoor_PandaOmron_Env	Close the toaster oven door.	50	100000
10	turn_on_microwave	TurnOnMicrowave	robocasa_panda_omron/TurnOnMicrowave_PandaOmron_Env	Press the start button on the microwave.	50	100000
11	turn_on_sink_faucet	TurnOnSinkFaucet	robocasa_panda_omron/TurnOnSinkFaucet_PandaOmron_Env	Turn on the sink faucet.	50	100000
12	navigate_fridge	NavigateKitchen	robocasa_panda_omron/NavigateKitchen_PandaOmron_Env	Navigate to the fridge.	50	100000
13	navigate_coffee_machine	NavigateKitchen	robocasa_panda_omron/NavigateKitchen_PandaOmron_Env	Navigate to the coffee machine.	50	100000
14	coffee_setup_mug	CoffeeSetupMug	robocasa_panda_omron/CoffeeSetupMug_PandaOmron_Env	Pick the mug from the counter and place it under the coffee machine dispenser.	50	100000
