scene	seed	A0_succ	A0_jerk	setM_within_permanent_succ	setM_within_permanent_jerk	setM_within_permanent_b05_succ	setM_within_permanent_b05_jerk	setM_within_permanent_b02_succ	setM_within_permanent_b02_jerk	setM_within_fut_b10_succ	setM_within_fut_b10_jerk	setM_within_fut_b05_succ	setM_within_fut_b05_jerk	setM_within_pl_fut_b10_succ	setM_within_pl_fut_b10_jerk	setM_within_gated_fut_b10_succ	setM_within_gated_fut_b10_jerk
100000	0	1	0.5368	0		0	0.8575	1	0.5687	1	0.4772	1	0.4727	1	0.4942	1	0.5317
100000	5	1	0.7690	0		0	0.5950	1	0.6252	1	0.7294	1	0.7478	1	0.5981	0	0.6669
100003	1	0	0.7751	0		0	1.2618	0	0.7514	0	0.8148	0	0.8317	0	1.0119	0	0.7875
100003	6	0	0.8266	0		0	0.8894	0	0.9921	1	0.5967	1	0.5787	0	0.7793	0	0.9116
100005	2	1	0.7063	0		1	0.9441	1	0.7512	1	0.7038	1	0.6757	1	0.6663	1	0.7166
100005	7	1	0.6323	0		1	0.7227	1	0.7532	1	0.6524	1	0.6672	1	0.6457	1	0.7347
100006	0	0	0.9787	0		0	1.4015	0	1.0807	0	0.9306	0	0.9707	0	0.9945	0	1.1560
100006	3	0	1.3477	0		0	1.3069	0	1.4136	0	1.3794	0	1.3207	0	1.3908	0	1.1731
100009	1	0	1.0787	0		0	1.0913	0	0.8746	0	0.8599	0	1.0911	0	1.1179	0	0.9510
100009	4	0	0.7733	0		0	1.2309	0	1.0759	0	0.6536	0	0.8228	0	0.6184	0	0.9935
100010	2	0	1.2321	0		0	1.1887	0	1.0400	0	0.9333	0	1.1634	0	0.8991	0	0.9982
100010	5	0	0.8080	0		0	0.8241	0	0.8438	0	0.6834	0	0.8369	0	0.9313	0	0.7726
100011	3	0	0.7769	0		0	1.0664	0	0.8767	0	0.7433	0	0.7163	0	0.7696	0	0.8767
100011	6	0	0.8745	0		0	1.2252	0	0.9405	0	1.0193	0	1.1053	0	0.9147	0	0.8573
100012	4	0	0.8769	0		0	1.1577	0	0.8996	0	0.7454	0	0.8272	0	0.7542	0	0.8682
100012	7	1	0.7200	0		0	0.8380	1	0.7462	1	0.7229	1	0.7622	1	0.7000	1	0.7644
100016	0	0	1.0526	0		1	0.6236	1	1.1907	1	0.5991	1	1.2326	1	0.9391	1	1.2672
100016	5	1	0.9802	0		1	0.7533	1	0.7507	1	1.1291	1	1.2395	0	1.0664	1	1.1556
100018	1	1	0.6876	0		0	0.6629	0	0.8754	0	1.0078	0	0.9521	0	1.1818	0	0.7211
100018	6	0	1.1387	0		0	0.9595	0	0.9997	0	1.1242	0	1.4685	0	1.1539	0	1.2292
100020	2	0	1.1365	0		0	1.5665	0	1.2311	0	1.1598	0	1.2326	0	1.0279	0	0.8868
100020	7	0	1.0078	0		0	1.2560	0	0.9314	0	1.3509	0	1.0619	0	1.3362	0	1.0227
100022	0	1	0.5911	0		1	0.6962	1	0.5961	1	0.5799	1	0.5858	1	0.5528	1	0.6831
100022	3	0	0.6684	0		0	0.9346	0	0.7642	0	1.0535	0	0.6870	0	1.0114	0	0.7804
100023	1	0	0.7673	0		0	0.9687	0	0.9023	0	0.7961	0	0.7617	0	0.8343	0	0.7158
100023	4	0	0.9875	0		0	0.9804	0	1.0094	0	0.7724	0	0.8873	0	0.7357	0	0.7115
100025	2	0	0.9708	0		0	1.4722	0	1.5384	0	1.3578	0	1.5700	0	1.3012	0	1.4471
100025	5	0	1.2081	0		0	1.2136	0	1.1826	0	1.2826	0	1.1839	0	1.2244	0	1.1369
100026	3	0	0.9753	0		0	1.1573	0	1.1042	0	1.1694	0	1.0562	0	1.0792	0	1.2251
100026	6	0	0.9611	0		0	0.9888	0	1.3595	0	0.9431	0	1.1478	0	1.3281	0	1.0415
100031	4	1	0.4089	0		0	0.8034	0	0.6582	0	0.7299	0	0.7647	0	0.5636	0	0.5165
100031	7	0	0.7306	0		0	0.9012	0	0.7842	0	0.7602	0	0.6765	0	1.0665	0	0.6668
100033	0	1	0.8918	0		1	1.1318	1	0.8625	1	0.6660	1	0.7183	1	0.6678	1	1.3129
100033	5	1	0.9555	0		1	1.1596	1	1.2638	0	1.2681	1	1.3067	1	1.1929	1	0.9137
100034	1	0	1.2685	0		0	1.2143	0	0.9329	0	1.1699	0	1.1897	0	0.8553	0	1.1862
100034	6	0	0.8740	0		0	1.2709	0	1.0771	0	0.9860	0	1.1393	0	1.1950	0	1.4081
100035	2	1	0.7138	0		0	1.0548	0	0.7025	1	0.7118	0	0.6502	1	0.7725	1	0.7068
100035	7	1	0.8425	0		1	0.8638	1	0.7385	1	0.7636	1	0.6996	1	0.7463	1	0.6853
100039	0	1	0.6865	0		1	0.7076	1	0.6162	1	0.6708	1	0.6653	1	0.5727	1	0.7248
100039	3	0	0.8024	0		0	1.1610	0	1.0932	1	0.9444	0	1.0811	0	1.0678	1	0.9301
