cluster,n_ep_succ,n_ep_fail,prev_s,prev_f,log2_or,p,q,side,exclusive,phase_id,n_train,purity,top_phases,phase
8,68,4,0.6732673267326733,0.08163265306122448,4.3698125312591385,1.340793604224843e-12,3.217904650139623e-11,succ,,4,276,0.9746376811594203,insert:269 reach-obj:5 grasp:2,insert
3,68,6,0.6732673267326733,0.12244897959183673,3.7744466702103905,8.692500996326084e-11,1.04310011955913e-09,succ,,3,367,0.7465940054495913,place:274 insert:61 grasp:30,place
5,2,19,0.019801980198019802,0.3877551020408163,-4.669361406955648,4.363670975232804e-09,3.4909367801862433e-08,fail,,11,454,0.6828193832599119,disengage:310 reach-handle:121 grasp-handle:22,disengage
13,68,9,0.6732673267326733,0.1836734693877551,3.1238653819437934,1.3171531801600552e-08,7.902919080960332e-08,succ,,4,392,0.9540816326530612,insert:374 reach-obj:13 place:4,insert
12,5,21,0.04950495049504951,0.42857142857142855,-3.7264001591681395,3.51481757985826e-08,1.687112438331965e-07,fail,,1,718,0.754874651810585,grasp:542 reach-obj:124 place:47,grasp
6,0,13,0.0,0.2653061224489796,-6.230398860468627,1.4347108228606445e-07,5.738843291442578e-07,fail,failure,11,153,0.7058823529411765,disengage:108 reach-handle:45,disengage
20,2,16,0.019801980198019802,0.32653061224489793,-4.2930014545569675,2.2024412420247936e-07,7.551227115513578e-07,fail,,1,218,0.8532110091743119,grasp:186 disengage:15 place:6,grasp
22,68,11,0.6732673267326733,0.22448979591836735,2.7751674771406427,2.5701459360534653e-07,7.710437808160396e-07,succ,,3,410,0.8463414634146341,place:347 grasp:50 reach-obj:13,place
0,2,11,0.019801980198019802,0.22448979591836735,-3.571471941018398,8.562346027470605e-05,0.00022832922739921612,fail,,7,239,0.4895397489539749,reach-handle:117 disengage:104 pull:12,reach-handle
11,26,28,0.25742574257425743,0.5714285714285714,-1.9171095442245236,0.00025954543682513566,0.0006229090483803256,fail,,7,671,0.5976154992548435,reach-handle:401 grasp-handle:177 disengage:87,reach-handle
4,68,18,0.6732673267326733,0.3673469387755102,1.799769450373721,0.00045471654194276223,0.0009921088187842084,succ,,1,736,0.6154891304347826,grasp:453 place:237 transport:38,grasp
9,68,19,0.6732673267326733,0.3877551020408163,1.6772780112033923,0.0013837118984918496,0.0025545450433695684,succ,,1,467,0.9057815845824411,grasp:423 reach-obj:41 place:3,grasp
19,68,19,0.6732673267326733,0.3877551020408163,1.6772780112033923,0.0013837118984918496,0.0025545450433695684,succ,,1,450,0.5866666666666667,grasp:264 reach-obj:186,grasp
21,68,21,0.6732673267326733,0.42857142857142855,1.438568151965398,0.0048974527346391915,0.00839563325938147,succ,,0,231,0.9913419913419913,reach-obj:229 grasp:2,reach-obj
16,17,17,0.16831683168316833,0.3469387755102041,-1.3785116232537298,0.021386742849710975,0.034218788559537555,fail,,7,358,0.9413407821229051,reach-handle:337 reach-obj:19 disengage:2,reach-handle
15,0,3,0.0,0.061224489795918366,-3.933532028134749,0.03341919100308362,0.047180034357294516,fail,failure,0,240,1.0,reach-obj:240,reach-obj
18,0,3,0.0,0.061224489795918366,-3.933532028134749,0.03341919100308362,0.047180034357294516,fail,failure,0,41,1.0,reach-obj:41,reach-obj
7,16,15,0.15841584158415842,0.30612244897959184,-1.2191302491361506,0.051927818406947615,0.0692370912092635,mid,,7,508,0.4763779527559055,reach-handle:242 grasp-handle:208 disengage:56,reach-handle
23,16,14,0.15841584158415842,0.2857142857142857,-1.0816922711503345,0.0826819264910576,0.10444032819923066,mid,,7,228,1.0,reach-handle:228,reach-handle
14,1,3,0.009900990099009901,0.061224489795918366,-2.3342853014073452,0.102303645927807,0.12276437511336839,mid,,0,60,0.9666666666666667,reach-obj:58 reach-handle:1 place:1,reach-obj
10,33,22,0.32673267326732675,0.4489795918367347,-0.7424362753077693,0.15335788720308374,0.17526615680352428,mid,,8,429,0.6993006993006993,grasp-handle:300 pull:85 reach-handle:24,grasp-handle
1,17,13,0.16831683168316833,0.2653061224489796,-0.8366593626206693,0.19333852396214285,0.2017445467431056,mid,,7,175,1.0,reach-handle:175,reach-handle
2,17,13,0.16831683168316833,0.2653061224489796,-0.8366593626206693,0.19333852396214285,0.2017445467431056,mid,,7,353,0.8753541076487252,reach-handle:309 disengage:26 grasp-handle:18,reach-handle
17,33,18,0.32673267326732675,0.3673469387755102,-0.2641163346317876,0.7136858843158302,0.7136858843158302,mid,,9,375,0.42133333333333334,pull:158 reach-handle:80 disengage:79,pull
