cluster,phase,task,purity,n_train,side,exclusive,n_ep_succ,n_ep_fail,prevalence_succ,prevalence_fail,log2_or,q_fdr,occupancy_succ,occupancy_fail,top_phases
11,disengage,drawer,0.46153846153846156,130,fail,,2,13,0.0198019801980198,0.2653061224489796,-3.8797594689397377,2.9471281817322035e-05,0.0005072573583889,0.0223922902494331,disengage:60 reach-handle:56 pull:8
41,disengage,drawer,0.75,68,fail,,1,12,0.0099009900990099,0.2448979591836734,-4.481126689736616,1.9328328757041537e-05,0.0001414427157001,0.0140306122448979,disengage:51 reach-handle:17
18,disengage,drawer,0.7552870090634441,331,fail,,1,14,0.0099009900990099,0.2857142857142857,-4.774323066080663,2.062435309118693e-06,0.0002750275027502,0.0559807256235827,disengage:250 reach-handle:56 grasp-handle:24
35,disengage,drawer,0.7708333333333334,96,fail,failure,0,6,0.0,0.1224489795918367,-4.92283213947754,0.0019561887516096,0.0,0.0158730158730158,disengage:74 reach-handle:22
10,grasp,pick-place,0.5714285714285714,427,succ,,65,17,0.6435643564356436,0.3469387755102041,1.7366832387409212,0.0018348108637477,0.0694094266276781,0.032312925170068,grasp:244 place:166 transport:17
19,grasp,pick-place,0.9879032258064516,248,succ,,67,19,0.6633663366336634,0.3877551020408163,1.6136262589732997,0.0031098745053692,0.0339120385456341,0.0266439909297052,grasp:245 place:3
26,grasp,pick-place,0.6804123711340206,291,succ,,49,13,0.4851485148514851,0.2653061224489796,1.3500481591300355,0.0217619735591166,0.071277094407246,0.0145975056689342,grasp:198 reach-obj:93
14,grasp,pick-place,0.678391959798995,199,mid,,19,10,0.1881188118811881,0.2040816326530612,-0.1694566699852246,0.8280076762611005,0.0299052534693924,0.0131802721088435,grasp:135 reach-obj:64
16,grasp,pick-place,0.7605042016806722,238,mid,,27,16,0.2673267326732673,0.3265306122448979,-0.4161137358381828,0.4589439679056059,0.0123252930421193,0.0371315192743764,grasp:181 reach-obj:56 insert:1
7,grasp,pick-place,0.7258064516129032,248,fail,,12,17,0.1188118811881188,0.3469387755102041,-1.946874791406044,0.0031098745053692,0.0071001451329334,0.0483276643990929,grasp:180 place:33 reach-obj:19
15,grasp,pick-place,0.9454545454545454,165,fail,failure,0,6,0.0,0.1224489795918367,-4.92283213947754,0.0019561887516096,0.0,0.0236678004535147,grasp:156 place:6 reach-obj:3
21,grasp,pick-place,0.967741935483871,186,fail,failure,0,8,0.0,0.1632653061224489,-5.377759327088591,0.0002422101251478,0.0,0.0330215419501133,grasp:180 place:3 reach-obj:3
37,grasp,pick-place,0.8170347003154574,317,fail,failure,0,13,0.0,0.2653061224489796,-6.230398860468627,8.608264937163867e-07,0.0,0.070578231292517,grasp:259 place:44 reach-obj:14
8,grasp-handle,drawer,0.6470588235294118,238,mid,,32,11,0.3168316831683168,0.2244897959183673,0.6466513249428356,0.2734225244970659,0.0415753191914161,0.0036848072562358,grasp-handle:154 pull:66 push-back:9
9,grasp-handle,drawer,0.8823529411764706,221,mid,,33,24,0.3267326732673267,0.4897959183673469,-0.9742273946464668,0.0994727669452401,0.0297244916561972,0.0257936507936507,grasp-handle:195 reach-handle:20 disengage:6
47,grasp-handle,drawer,0.8181818181818182,231,mid,,15,13,0.1485148514851485,0.2653061224489796,-1.0454948605333008,0.143768342743341,0.0072000547847741,0.0430839002267573,grasp-handle:189 reach-handle:41 disengage:1
17,insert,pick-place,0.98989898989899,99,succ,,60,1,0.594059405940594,0.0204081632653061,5.558774147393641,1.4064844301083155e-11,0.03119927845564,0.0002834467120181,insert:98 reach-obj:1
25,insert,pick-place,1.0,196,succ,,68,4,0.6732673267326733,0.0816326530612244,4.3698125312591385,2.1452697667597488e-11,0.0512081383273567,0.0042517006802721,insert:196
3,insert,pick-place,0.9940119760479041,167,succ,,64,4,0.6336633663366337,0.0816326530612244,4.120278203683757,3.1887566729056436e-10,0.041755356793421,0.0042517006802721,insert:166 reach-obj:1
44,insert,pick-place,0.9240506329113924,79,succ,,47,3,0.4653465346534653,0.0612244897959183,3.5334751726044487,1.3997413455494134e-06,0.0199171105982379,0.0014172335600907,insert:73 reach-obj:4 grasp:2
29,insert,pick-place,0.9319727891156463,147,succ,,59,5,0.5841584158415841,0.1020408163265306,3.5017286394993423,4.8031965451999024e-08,0.0301790990562402,0.0053854875283446,insert:137 place:10
34,place,pick-place,0.7339901477832512,203,succ,,68,4,0.6732673267326733,0.0816326530612244,4.3698125312591385,2.1452697667597488e-11,0.0563146863269235,0.0035430839002267,place:149 insert:37 grasp:17
38,place,pick-place,0.8968253968253969,126,succ,,68,6,0.6732673267326733,0.1224489795918367,3.77444667021039,8.34480095647304e-10,0.037379894928239,0.0019841269841269,place:113 grasp:13
20,place,pick-place,0.8787878787878788,165,succ,,68,7,0.6732673267326733,0.1428571428571428,3.5344432330319373,7.018391455677837e-09,0.0440401806908214,0.0029761904761904,place:145 grasp:18 reach-obj:2
2,place,pick-place,0.7859424920127795,313,succ,,66,11,0.6534653465346535,0.2244897959183673,2.648759900634396,3.1647607904438173e-06,0.079996389267178,0.0094954648526077,place:246 grasp:58 transport:5
36,pull,drawer,0.9325842696629213,89,succ,,33,7,0.3267326732673267,0.1428571428571428,1.470557448026429,0.0295788118300655,0.0271149853666045,0.0012755102040816,pull:83 disengage:3 push-back:1
45,pull,drawer,0.379746835443038,237,mid,,17,12,0.1683168316831683,0.2448979591836734,-0.6866339186160615,0.2896015847194496,0.0436774974687719,0.0232426303854875,pull:90 grasp-handle:73 disengage:36
5,reach-handle,drawer,1.0,89,mid,,17,13,0.1683168316831683,0.2653061224489796,-0.836659362620669,0.2124687439657996,0.0174830601267601,0.0076530612244897,reach-handle:89
23,reach-handle,drawer,0.946236559139785,186,mid,,17,13,0.1683168316831683,0.2653061224489796,-0.836659362620669,0.2124687439657996,0.0397412921429422,0.0157312925170068,reach-handle:176 grasp-handle:9 disengage:1
39,reach-handle,drawer,1.0,102,mid,,17,13,0.1683168316831683,0.2653061224489796,-0.836659362620669,0.2124687439657996,0.0216069770676295,0.0076530612244897,reach-handle:102
13,reach-handle,drawer,1.0,210,mid,,16,13,0.1584158415841584,0.2653061224489796,-0.9385213388108956,0.1544688405536431,0.0300320999979152,0.0191326530612244,reach-handle:210
46,reach-handle,drawer,1.0,215,mid,,16,14,0.1584158415841584,0.2857142857142857,-1.0816922711503347,0.1102425686547434,0.0302161195637809,0.0215419501133786,reach-handle:215
42,reach-handle,drawer,0.8575757575757575,330,mid,,16,15,0.1584158415841584,0.3061224489795918,-1.2191302491361506,0.0733098612803966,0.0265253628248918,0.0415249433106575,reach-handle:283 disengage:29 grasp-handle:18
32,reach-handle,drawer,0.552901023890785,293,fail,,14,17,0.1386138613861386,0.3469387755102041,-1.7001453206212689,0.008637309548558,0.0092813728718532,0.0607993197278911,reach-handle:162 grasp-handle:96 disengage:32
24,reach-handle,drawer,0.8647058823529412,170,fail,,3,11,0.0297029702970297,0.2244897959183673,-3.0714723127608834,0.0007166980522585,0.0012554894303446,0.0335884353741496,reach-handle:147 disengage:18 grasp-handle:5
43,reach-handle,drawer,0.5862068965517241,87,fail,failure,0,4,0.0,0.0816326530612244,-4.327466278428792,0.0179274960483014,0.0,0.0145975056689342,reach-handle:51 disengage:36
0,reach-handle,drawer,0.5,98,fail,failure,0,7,0.0,0.1428571428571428,-5.1628355766559935,0.0007166980522585,0.0,0.0209750566893424,reach-handle:49 disengage:47 pull:2
12,reach-handle,drawer,0.8057553956834532,139,fail,failure,0,8,0.0,0.1632653061224489,-5.377759327088591,0.0002422101251478,0.0,0.0215419501133786,reach-handle:112 disengage:27
6,reach-handle,drawer,0.5470588235294118,170,fail,failure,0,9,0.0,0.1836734693877551,-5.5734134277441365,7.925843062350923e-05,0.0,0.0347222222222222,reach-handle:93 disengage:70 pull:6
31,reach-handle,drawer,0.6,170,fail,failure,0,12,0.0,0.2448979591836734,-6.08037341646402,2.335018302365825e-06,0.0,0.0392573696145124,reach-handle:102 disengage:53 grasp-handle:14
30,reach-obj,pick-place,1.0,128,mid,,47,16,0.4653465346534653,0.3265306122448979,0.8233663546533405,0.143768342743341,0.0285254352033995,0.0058106575963718,reach-obj:128
33,reach-obj,pick-place,0.9516129032258065,124,mid,,36,12,0.3564356435643564,0.2448979591836734,0.7413640580637233,0.2124687439657996,0.0276065796748404,0.0066609977324263,reach-obj:118 grasp:6
28,reach-obj,pick-place,0.9622641509433962,53,mid,,1,3,0.0099009900990099,0.0612244897959183,-2.334285301407345,0.1327182433658036,0.0001269357705001,0.0073696145124716,reach-obj:51 reach-handle:1 place:1
40,reach-obj,pick-place,0.5222222222222223,90,fail,,4,11,0.0396039603960396,0.2244897959183673,-2.69418072766941,0.0018348108637477,0.0009223779520809,0.0136054421768707,reach-obj:47 reach-handle:43
4,reach-obj,pick-place,0.6114649681528662,157,fail,,2,10,0.0198019801980198,0.2040816326530612,-3.403233200257944,0.0006887805056444,0.0005414356593958,0.0290532879818594,reach-obj:96 grasp:61
1,reach-obj,pick-place,1.0,148,fail,failure,0,3,0.0,0.0612244897959183,-3.933532028134749,0.0486097323681216,0.0,0.030328798185941,reach-obj:148
22,reach-obj,pick-place,1.0,43,fail,failure,0,3,0.0,0.0612244897959183,-3.933532028134749,0.0486097323681216,0.0,0.0107709750566893,reach-obj:43
27,reach-obj,pick-place,1.0,92,fail,failure,0,3,0.0,0.0612244897959183,-3.933532028134749,0.0486097323681216,0.0,0.0192743764172335,reach-obj:92
