cluster,n_ep_succ,n_ep_fail,prev_s,prev_f,log2_or,p,q,side,exclusive,phase
0,1,4,0.009900990099009901,0.08163265306122448,-2.7282195517013883,0.039395467914360986,0.060999434189978295,mid,,reach-obj
1,9,6,0.0891089108910891,0.12244897959183673,-0.5409501693650905,0.567025533835059,0.60805985034946,mid,,grasp-handle
2,37,8,0.36633663366336633,0.16326530612244897,1.505168025169212,0.01321302262609296,0.02439327254047931,succ,,grasp
3,15,10,0.1485148514851485,0.20408163265306123,-0.5689685918515069,0.4839234590045106,0.5401936286561978,mid,,grasp-handle
4,0,3,0.0,0.061224489795918366,-3.933532028134749,0.03341919100308362,0.05347070560493379,mid,failure,grasp
5,1,9,0.009900990099009901,0.1836734693877551,-3.9741667010167334,0.0001844444861584324,0.0005533334584752973,fail,,grasp
6,17,12,0.16831683168316833,0.24489795918367346,-0.6866339186160618,0.2775348520228059,0.33304182242736713,mid,,pull
7,2,13,0.019801980198019802,0.2653061224489796,-3.8797594689397377,8.59579053005226e-06,2.7506529696167232e-05,fail,,disengage
8,0,7,0.0,0.14285714285714285,-5.162835576655993,0.0002920698483306073,0.0007378606694667974,fail,failure,disengage
9,32,18,0.31683168316831684,0.3673469387755102,-0.3287467018240862,0.5818865355091678,0.60805985034946,mid,,grasp-handle
10,4,17,0.039603960396039604,0.3469387755102041,-3.5443205162238103,1.270437011592564e-06,5.081748046370256e-06,fail,,reach-handle
11,62,3,0.6138613861386139,0.061224489795918366,4.393807425535411,1.3484608865027755e-11,2.1575374184044408e-10,succ,,insert
12,11,11,0.10891089108910891,0.22448979591836735,-1.233059346388304,0.08379212319152621,0.11172283092203496,mid,,reach-obj
13,60,15,0.594059405940594,0.30612244897959184,1.6981519523189637,0.0015858298293980756,0.0036247538957670297,succ,,place
14,0,5,0.0,0.10204081632653061,-4.649034104856075,0.003223265556629535,0.00644653111325907,fail,failure,reach-obj
15,68,4,0.6732673267326733,0.08163265306122448,4.3698125312591385,1.340793604224843e-12,3.217904650139623e-11,succ,,insert
16,0,12,0.0,0.24489795918367346,-6.08037341646402,5.351083609588348e-07,2.335018302365825e-06,fail,failure,reach-handle
17,17,13,0.16831683168316833,0.2653061224489796,-0.8366593626206693,0.19333852396214285,0.24421708289954888,mid,,reach-handle
18,0,3,0.0,0.061224489795918366,-3.933532028134749,0.03341919100308362,0.05347070560493379,mid,failure,reach-obj
19,16,7,0.15841584158415842,0.14285714285714285,0.1290419450017388,1.0,1.0,mid,,pull
20,21,11,0.2079207920792079,0.22448979591836735,-0.16142753877463056,0.8338036678585118,0.8515441714299695,mid,,grasp
21,68,8,0.6732673267326733,0.16326530612244897,3.3195194825993397,3.258987194232511e-09,2.2347340760451503e-08,succ,,place
22,23,5,0.22772277227722773,0.10204081632653061,1.2762699151151107,0.07563997127415006,0.11002177639876373,mid,,place
23,4,4,0.039603960396039604,0.08163265306122448,-1.0995356735509143,0.4389166738667267,0.5016190558476877,mid,,grasp
24,67,20,0.6633663366336634,0.40816326530612246,1.4933821850164193,0.004542631397548849,0.00872185228329379,succ,,reach-obj
25,16,12,0.15841584158415842,0.24489795918367346,-0.7884958948062882,0.26364219621688767,0.32448270303616944,mid,,reach-handle
26,16,14,0.15841584158415842,0.2857142857142857,-1.0816922711503345,0.0826819264910576,0.11172283092203496,mid,,reach-handle
27,0,6,0.0,0.12244897959183673,-4.92283213947754,0.0009780943758048244,0.0023474265019315784,fail,failure,reach-handle
28,12,4,0.1188118811881188,0.08163265306122448,0.49791005126685217,0.5827240232515658,0.60805985034946,mid,,grasp
29,62,5,0.6138613861386139,0.10204081632653061,3.6783053488140847,9.031766059792607e-10,8.670495417400902e-09,succ,,insert
30,2,10,0.019801980198019802,0.20408163265306123,-3.4032332002579437,0.0002582926896166684,0.0007292970059764755,fail,,reach-obj
31,17,13,0.16831683168316833,0.2653061224489796,-0.8366593626206693,0.19333852396214285,0.24421708289954888,mid,,reach-handle
32,66,5,0.6534653465346535,0.10204081632653061,3.921837128325608,6.640849264885923e-11,7.969019117863107e-10,succ,,place
33,24,8,0.2376237623762376,0.16326530612244897,0.626162028937556,0.39601616774386084,0.46362868418793457,mid,,grasp
34,0,3,0.0,0.061224489795918366,-3.933532028134749,0.03341919100308362,0.05347070560493379,mid,failure,reach-obj
35,0,10,0.0,0.20408163265306123,-5.753872591786834,7.026456615559328e-06,2.409070839620341e-05,fail,failure,disengage
36,8,14,0.07920792079207921,0.2857142857142857,-2.1676654942601874,0.0023067068267107783,0.0050328148946416984,fail,,reach-handle
37,0,14,0.0,0.2857142857142857,-6.373569792808066,3.7700430381739556e-08,2.010689620359443e-07,fail,failure,grasp
38,55,4,0.5445544554455446,0.08163265306122448,3.5931266939984585,1.3171361925665711e-08,7.902817155399427e-08,succ,,insert
39,68,20,0.6732673267326733,0.40816326530612246,1.5570339372465118,0.002617675803319337,0.005462975589536007,succ,,grasp
40,0,3,0.0,0.061224489795918366,-3.933532028134749,0.03341919100308362,0.05347070560493379,mid,failure,reach-handle
41,16,14,0.15841584158415842,0.2857142857142857,-1.0816922711503345,0.0826819264910576,0.11172283092203496,mid,,reach-handle
42,68,4,0.6732673267326733,0.08163265306122448,4.3698125312591385,1.340793604224843e-12,3.217904650139623e-11,succ,,place
43,0,10,0.0,0.20408163265306123,-5.753872591786834,7.026456615559328e-06,2.409070839620341e-05,fail,failure,reach-handle
44,0,16,0.0,0.32653061224489793,-6.643640846085857,2.443546413631268e-09,1.9548371309050145e-08,fail,failure,reach-handle
45,0,7,0.0,0.14285714285714285,-5.162835576655993,0.0002920698483306073,0.0007378606694667974,fail,failure,grasp
46,60,7,0.594059405940594,0.14285714285714285,3.046324146456853,9.638806191182246e-08,4.6266269717674785e-07,succ,,place
47,16,15,0.15841584158415842,0.30612244897959184,-1.2191302491361506,0.051927818406947615,0.07789172761042143,mid,,reach-handle
