cluster,n_ep_succ,n_ep_fail,prev_s,prev_f,log2_or,p,q,side,exclusive,phase
0,4,37,0.039603960396039604,0.7551020408163265,-6.022367813028454,3.226059612369526e-20,1.5485086139373726e-18,fail,,grasp
1,61,17,0.6039603960396039,0.3469387755102041,1.4957492985381031,0.0050411620956442565,0.009306760791958628,succ,,grasp
2,67,6,0.6633663366336634,0.12244897959183673,3.710794917980298,2.494650116508326e-10,1.4967900699049957e-09,succ,,place
3,16,19,0.15841584158415842,0.3877551020408163,-1.7281232768268064,0.0034779713258490225,0.006955942651698045,fail,,reach-handle
4,17,11,0.16831683168316833,0.22448979591836735,-0.5283718346993295,0.5031015291731176,0.5749731761978486,mid,,pull
5,36,8,0.3564356435643564,0.16326530612244897,1.4439781474391522,0.021005506382178817,0.03734312245720678,succ,,grasp
6,33,16,0.32673267326732675,0.32653061224489793,-0.010247821403435305,1.0,1.0,mid,,grasp-handle
7,70,20,0.693069306930693,0.40816326530612246,1.6873624736426347,0.001278198966765908,0.003408530578042421,succ,,grasp
8,1,4,0.009900990099009901,0.08163265306122448,-2.7282195517013883,0.039395467914360986,0.05402807028255221,mid,,reach-obj
9,0,3,0.0,0.061224489795918366,-3.933532028134749,0.03341919100308362,0.047180034357294516,fail,failure,reach-obj
10,0,5,0.0,0.10204081632653061,-4.649034104856075,0.003223265556629535,0.006955942651698045,fail,failure,reach-handle
11,16,6,0.15841584158415842,0.12244897959183673,0.36904538218019184,0.630607780094655,0.68793576010326,mid,,pull
12,33,28,0.32673267326732675,0.5714285714285714,-1.4385681519653981,0.004897452734639192,0.009306760791958628,fail,,grasp-handle
13,68,4,0.6732673267326733,0.08163265306122448,4.3698125312591385,1.340793604224843e-12,2.1452697667597488e-11,succ,,insert
14,22,7,0.21782178217821782,0.14285714285714285,0.6814704815745026,0.3784000728769684,0.4430049633681581,mid,,reach-obj
15,20,24,0.19801980198019803,0.4897959183673469,-1.9334606517567063,0.00047305398453487835,0.001419161953604635,fail,,reach-handle
16,0,3,0.0,0.061224489795918366,-3.933532028134749,0.03341919100308362,0.047180034357294516,fail,failure,reach-handle
17,13,34,0.12871287128712872,0.6938775510204082,-3.8670461943108227,6.144285303581808e-12,7.37314236429817e-11,fail,,disengage
18,0,22,0.0,0.4489795918367347,-7.375829299990191,3.770411572987967e-13,9.048987775171121e-12,fail,failure,reach-handle
19,63,4,0.6237623762376238,0.08163265306122448,4.059767784833649,6.25415239583718e-11,5.376070685410167e-10,succ,,insert
20,3,15,0.0297029702970297,0.30612244897959184,-3.660368751007478,3.51051734919169e-06,1.1233655517413409e-05,fail,,reach-handle
21,31,11,0.3069306930693069,0.22448979591836735,0.5809531557390114,0.33630754899204107,0.4035690587904493,mid,,place
22,19,11,0.18811881188118812,0.22448979591836735,-0.337695410745679,0.6649500186904558,0.7092800199364862,mid,,grasp
23,12,6,0.1188118811881188,0.12244897959183673,-0.0974558097818956,1.0,1.0,mid,,reach-obj
24,0,3,0.0,0.061224489795918366,-3.933532028134749,0.03341919100308362,0.047180034357294516,fail,failure,reach-obj
25,68,9,0.6732673267326733,0.1836734693877551,3.1238653819437934,1.3171531801600552e-08,5.268612720640221e-08,succ,,place
26,0,3,0.0,0.061224489795918366,-3.933532028134749,0.03341919100308362,0.047180034357294516,fail,failure,reach-obj
27,16,19,0.15841584158415842,0.3877551020408163,-1.7281232768268064,0.0034779713258490225,0.006955942651698045,fail,,reach-handle
28,1,19,0.009900990099009901,0.3877551020408163,-5.420754071757135,5.321062982839361e-10,2.8379002575143258e-09,fail,,disengage
29,2,16,0.019801980198019802,0.32653061224489793,-4.2930014545569675,2.2024412420247936e-07,7.551227115513578e-07,fail,,grasp
30,0,5,0.0,0.10204081632653061,-4.649034104856075,0.003223265556629535,0.006955942651698045,fail,failure,reach-obj
31,63,5,0.6237623762376238,0.10204081632653061,3.738199958406365,7.017883876868728e-10,3.3685842608969896e-09,succ,,insert
32,0,15,0.0,0.30612244897959184,-6.511007770793882,9.702316642359443e-09,4.233738171211393e-08,fail,failure,grasp
33,21,19,0.2079207920792079,0.3877551020408163,-1.2593170047118811,0.029509073667360324,0.047180034357294516,fail,,grasp
34,54,16,0.5346534653465347,0.32653061224489793,1.2200237875452977,0.022942777306720424,0.0393304753829493,succ,,reach-obj
35,0,3,0.0,0.061224489795918366,-3.933532028134749,0.03341919100308362,0.047180034357294516,fail,failure,reach-obj
36,17,13,0.16831683168316833,0.2653061224489796,-0.8366593626206693,0.19333852396214285,0.23795510641494508,mid,,reach-handle
37,7,14,0.06930693069306931,0.2857142857142857,-2.3635857042354442,0.0007331971120786789,0.0020702036105750936,fail,,reach-handle
38,50,11,0.49504950495049505,0.22448979591836735,1.7149355402064648,0.0015225860049399033,0.0038465330651113344,succ,,place
39,2,17,0.019801980198019802,0.3469387755102041,-4.421611729572798,6.13388832228868e-08,2.264820303614282e-07,fail,,reach-handle
40,4,3,0.039603960396039604,0.061224489795918366,-0.7056014232568709,0.6832832277484548,0.7129911941723006,mid,,grasp-handle
41,17,13,0.16831683168316833,0.2653061224489796,-0.8366593626206693,0.19333852396214285,0.23795510641494508,mid,,reach-handle
42,17,14,0.16831683168316833,0.2857142857142857,-0.9798302949601079,0.13140606971258248,0.17047273908659347,mid,,reach-handle
43,30,4,0.297029702970297,0.08163265306122448,2.108735639540881,0.003214324874465888,0.006955942651698045,succ,,place
44,1,1,0.009900990099009901,0.02040816326530612,-1.0511388489918008,0.5480984340044743,0.6118308100515062,mid,,grasp
45,69,6,0.6831683168316832,0.12244897959183673,3.839077037402689,6.720088356762709e-11,5.376070685410167e-10,succ,,insert
46,16,13,0.15841584158415842,0.2653061224489796,-0.9385213388108956,0.12872403379470265,0.17047273908659347,mid,,reach-handle
47,24,39,0.2376237623762376,0.7959183673469388,-3.572877886557372,1.157034106024841e-10,7.93394815559891e-10,fail,,reach-handle
