model	cell	layer	phase	var_z	var_gain	mean_z	mean_auroc	kl_z	kl_mean_z	kl_cov_z	kl_total	kl_mean_term	kl_cov_term	mean_frac	k	quota	n_rec_s	n_rec_f	n_eps_s	n_eps_f	dwell_cap	alpha	skip_reason
n15	exp41_mixer	0	__global__	-0.107984	0.16592	0.868588	0.558306	0.491829	-0.418908	0.716212	3.75587	0.470914	3.28495	0.125381	32	0.095613	556	682	19	11	62	1	
n15	exp41_mixer	0	contact-head	-1.66053	0.140073	0.533199	0.674595	0.864707	0.044274	1.60424	1.27349	0.558044	0.715442	0.438202	7	0.0156852	109	162	19	11	20	1	
n15	exp41_mixer	0	disengage													0.00160392	41	149	6	10	16		quota 미달 (rec 41/149, eps 6/10)
n15	exp41_mixer	0	lift-open	2.40999	0.19792	0.991181	0.662233	1.45649	0.785872	1.28014	0.997012	0.470942	0.52607	0.472354	12	0.073495	214	78	19	10	16	1	
n15	exp41_mixer	0	push-down													0.0121237	72	66	2	8	71		quota 미달 (rec 72/66, eps 2/8)
n15	exp41_mixer	0	reach-to-head	-1.01174	0.145145	-0.00774652	0.664944	1.08037	0.684496	0.785551	1.00373	0.647447	0.356282	0.645042	13	0.0229929	152	126	18	10	14	1	
n15	exp41_mixer	2	__global__	-1.03944	0.146369	0.437331	0.550558	0.051226	2.25743	-1.55063	4.76422	2.72698	2.03724	0.572387	32	0.0950585	556	682	19	11	62	1	
n15	exp41_mixer	2	contact-head	-2.23826	0.106436	0.964713	0.776362	0.00570984	-0.182521	0.400961	1.25847	0.710898	0.547576	0.564889	15	0.0063378	109	162	19	11	20	1	
n15	exp41_mixer	2	disengage													0.00113547	41	149	6	10	16		quota 미달 (rec 41/149, eps 6/10)
n15	exp41_mixer	2	lift-open	1.05561	0.198034	-0.149901	0.731608	-1.19775	-0.574636	-1.49819	0.404158	0.32276	0.0813987	0.798597	4	0.0832301	214	78	19	10	16	1	
n15	exp41_mixer	2	push-down													0.00983062	72	66	2	8	71		quota 미달 (rec 72/66, eps 2/8)
n15	exp41_mixer	2	reach-to-head	-0.865429	0.139815	1.25568	0.778561	1.25683	0.240408	2.27057	1.37901	0.581175	0.797839	0.421443	6	0.013594	152	126	18	10	14	1	
n15	exp41_mixer	4	__global__	-1.70082	0.11521	0.918248	0.586827	2.81134	4.13124	0.692968	10.9528	6.82848	4.12432	0.623446	32	0.0823036	556	682	19	11	62	1	
n15	exp41_mixer	4	contact-head	-1.99373	0.0817707	0.860531	0.802582	0.0552234	-0.456778	0.698058	1.93575	0.512394	1.42335	0.264701	10	0.00424535	109	162	19	11	20	1	
n15	exp41_mixer	4	disengage													0.00109558	41	149	6	10	16		quota 미달 (rec 41/149, eps 6/10)
n15	exp41_mixer	4	lift-open	3.41094	0.221183	-0.117068	0.766475	-0.451162	0.349678	-1.51641	0.777015	0.650449	0.126567	0.837112	4	0.0849939	214	78	19	10	16	1	
n15	exp41_mixer	4	push-down													0.00896377	72	66	2	8	71		quota 미달 (rec 72/66, eps 2/8)
n15	exp41_mixer	4	reach-to-head	-1.19142	0.0935293	0.871364	0.784096	2.44805	1.52747	2.48788	2.6763	1.61705	1.05925	0.604211	11	0.00990206	152	126	18	10	14	1	
n15	exp41_mixer	8	__global__	-3.112	0.0842854	2.45404	0.669814	1.50829	0.32508	3.0644	18.6083	6.10619	12.5021	0.328144	32	0.0536644	556	682	19	11	62	1	
n15	exp41_mixer	8	contact-head	-1.59109	0.046551	0.617421	0.810851	-0.87202	-0.692618	-1.2665	1.46298	0.734555	0.728425	0.502095	5	0.00265041	109	162	19	11	20	1	
n15	exp41_mixer	8	disengage													0.00105793	41	149	6	10	16		quota 미달 (rec 41/149, eps 6/10)
n15	exp41_mixer	8	lift-open	0.169785	0.0956309	-0.0637765	0.79601	0.0850016	0.296401	-0.27997	2.19687	1.20948	0.987384	0.550549	6	0.0863971	214	78	19	10	16	1	
n15	exp41_mixer	8	push-down													0.00761636	72	66	2	8	71		quota 미달 (rec 72/66, eps 2/8)
n15	exp41_mixer	8	reach-to-head	-1.77315	0.054981	0.298963	0.770677	0.128879	0.126689	0.112228	2.90881	1.36324	1.54557	0.46866	10	0.00589054	152	126	18	10	14	1	
n15	exp41_mixer	10	__global__	-2.58311	0.0728641	1.71141	0.679732	6.18414	4.75726	5.92629	37.9563	14.2745	23.6818	0.376078	32	0.0443614	556	682	19	11	62	1	
n15	exp41_mixer	10	contact-head	-1.84779	0.0246839	0.468641	0.785366	0.392032	0.46972	0.237218	7.10051	3.65387	3.44664	0.514593	11	0.00226052	109	162	19	11	20	1	
n15	exp41_mixer	10	disengage													0.00104644	41	149	6	10	16		quota 미달 (rec 41/149, eps 6/10)
n15	exp41_mixer	10	lift-open	3.04735	0.128225	-0.691453	0.743949	-0.818201	-0.436954	-1.30333	1.36324	0.925672	0.437566	0.679025	5	0.0866835	214	78	19	10	16	1	
n15	exp41_mixer	10	push-down													0.00742554	72	66	2	8	71		quota 미달 (rec 72/66, eps 2/8)
n15	exp41_mixer	10	reach-to-head	-0.974181	0.0552393	0.46129	0.755482	1.2554	1.65858	0.644597	5.50007	2.91365	2.58642	0.529748	13	0.00483968	152	126	18	10	14	1	
n15	exp41_mixer	12	__global__	-4.12385	0.0734284	1.85781	0.687573	-0.420667	-0.129026	-0.643676	14.2019	5.82178	8.38015	0.409929	32	0.0353172	556	682	19	11	62	1	
n15	exp41_mixer	12	contact-head	-2.50136	0.0149536	0.561061	0.79573	3.41034	4.12966	0.379116	26.8398	22.2262	4.61357	0.828107	5	0.00193169	109	162	19	11	20	1	
n15	exp41_mixer	12	disengage													0.00103757	41	149	6	10	16		quota 미달 (rec 41/149, eps 6/10)
