instruction	n_phase	n_test	major_acc	clock_acc	cluster_acc	probe_acc	probet_acc	major_f1	clock_f1	cluster_f1	probe_f1	probet_f1
CoffeeSetupMug	3	2784	0.7685	0.6951	0.8618	0.8936	0.7685	0.2885	0.2825	0.5338	0.5554	0.2885
DishwasherRack_out	6	1747	0.5698	0.5698	0.5412	0.7468	0.5698	0.1202	0.1202	0.2416	0.4178	0.1202
OpenDrawer_left	5	1523	0.3273	0.2620	0.7325	0.6962	0.3669	0.0981	0.1740	0.5173	0.4948	0.1734
OpenDrawer_right	5	1666	0.4305	0.5300	0.7836	0.8298	0.4761	0.1190	0.3033	0.4964	0.5791	0.2480
OvenRack_out	6	1729	0.3917	0.3981	0.4870	0.6944	0.4451	0.0929	0.1635	0.2322	0.4621	0.1697
PPCC_apple	3	254	0.5213	0.8121	0.8606	0.8930	0.8381	0.2269	0.8040	0.8392	0.8803	0.8231
PPCC_bread	3	1488	0.7309	0.7309	0.9061	0.9115	0.7381	0.2804	0.2804	0.8456	0.8628	0.3924
PPCC_candle	3	1626	0.5876	0.5884	0.8521	0.8936	0.6167	0.2442	0.3081	0.8057	0.8683	0.3934
PPCC_jug	3	2318	0.8498	0.8498	0.9162	0.9596	0.8498	0.3060	0.3060	0.6053	0.8693	0.3060
PPCC_marshmallow	3	1072	0.5519	0.6221	0.8754	0.9275	0.6317	0.2358	0.4541	0.8425	0.9219	0.4638
