task	raw_mi	resid_mi	raw_margin	resid_margin	raw_mi_scene	resid_mi_scene	raw_purity	resid_purity
CoffeeSetupMug	0.534224	0.398149	0.417470	0.281395	0.570510	0.323067	0.922355	0.844711
DishwasherRack_out	0.468158	0.261963	0.285843	0.079648	1.029123	0.246393	0.734538	0.686475
OpenDrawer_left	0.710213	0.593984	0.394721	0.278493	0.497022	0.257937	0.679243	0.632691
OpenDrawer_right	0.748881	0.546100	0.367493	0.164712	1.017806	0.227614	0.734857	0.661970
OvenRack_out	0.595164	0.647451	0.250711	0.302998	0.946974	0.319336	0.543715	0.616081
PPCC_apple	0.372225	0.243920	-0.630688	-0.758994	0.510224	0.043069	0.629426	0.557042
PPCC_bread	0.362173	0.351152	0.148214	0.137194	0.306783	0.256446	0.820200	0.816046
PPCC_candle	0.756245	0.785435	0.513723	0.542914	0.232863	0.134473	0.910311	0.901480
PPCC_jug	0.248361	0.148781	0.212970	0.113390	0.710372	0.162370	0.933633	0.932469
PPCC_marshmallow	0.759180	0.804655	0.336969	0.382444	0.450983	0.152191	0.836903	0.878902
