task	raw_mi	resid_mi	raw_margin	resid_margin	raw_mi_scene	resid_mi_scene	raw_purity	resid_purity
CoffeeSetupMug	0.426656	0.444455	0.309902	0.327701	0.459150	0.275847	0.871987	0.880358
DishwasherRack_out	0.493232	0.465681	0.310917	0.283366	1.191209	0.598307	0.709296	0.716654
OpenDrawer_left	0.690950	0.748287	0.375459	0.432795	0.510837	0.272018	0.617831	0.658231
OpenDrawer_right	0.887729	0.674439	0.506342	0.293051	0.767398	0.362653	0.809186	0.725094
OvenRack_out	0.649146	0.618844	0.304693	0.274391	0.855893	0.417490	0.561832	0.591552
PPCC_apple	1.139134	1.142682	0.136221	0.139769	0.018803	0.015706	0.886703	0.889064
PPCC_bread	0.602865	0.586179	0.388906	0.372221	0.250089	0.154578	0.887057	0.883941
PPCC_candle	0.778380	0.746439	0.535858	0.503918	0.188725	0.153768	0.887602	0.884734
PPCC_jug	0.312262	0.311387	0.276871	0.275997	0.341991	0.179637	0.954591	0.956144
PPCC_marshmallow	0.852934	0.827911	0.430723	0.405700	0.428424	0.336997	0.877922	0.870643
