instruction	n_phase	n_test	major_acc	causal_time_acc	clock_acc	probet_acc	action_cluster_acc	action_probe_acc	action_time_acc	cluster_acc	probe_acc	major_f1	causal_time_f1	clock_f1	probet_f1	action_cluster_f1	action_probe_f1	action_time_f1	cluster_f1	probe_f1
CoffeeSetupMug	3	2784	0.7685	0.7032	0.6951	0.7685	0.7431	0.7689	0.6947	0.8683	0.8936	0.2885	0.3204	0.2825	0.2885	0.2875	0.3078	0.3096	0.5356	0.5554
DishwasherRack_out	6	1747	0.5698	0.5698	0.5698	0.5698	0.4951	0.5149	0.5782	0.4888	0.7468	0.1202	0.1202	0.1202	0.1202	0.1984	0.2049	0.3341	0.2083	0.4178
OpenDrawer_left	5	1523	0.3273	0.5175	0.2620	0.3669	0.3770	0.6273	0.7905	0.7159	0.6962	0.0981	0.3081	0.1740	0.1734	0.1835	0.3347	0.5545	0.4096	0.4948
OpenDrawer_right	5	1666	0.4305	0.6467	0.5300	0.4761	0.5618	0.6420	0.7508	0.7626	0.8298	0.1190	0.2866	0.3033	0.2480	0.2679	0.3352	0.5385	0.4860	0.5791
OvenRack_out	6	1729	0.3917	0.5102	0.3981	0.4451	0.3959	0.4410	0.4970	0.5713	0.6944	0.0929	0.2551	0.1635	0.1697	0.1252	0.2173	0.3034	0.2722	0.4621
PPCC_apple	3	254	0.5213	0.7596	0.8121	0.8381	0.3778	0.4380	0.7735	0.8267	0.8930	0.2269	0.7363	0.8040	0.8231	0.2687	0.3437	0.7506	0.8123	0.8803
PPCC_bread	3	1488	0.7309	0.7394	0.7309	0.7381	0.7309	0.6719	0.8517	0.9041	0.9115	0.2804	0.4649	0.2804	0.3924	0.2804	0.3741	0.7274	0.8473	0.8628
PPCC_candle	3	1626	0.5876	0.5503	0.5884	0.6167	0.5876	0.5998	0.7733	0.8168	0.8936	0.2442	0.2540	0.3081	0.3934	0.2442	0.4245	0.6893	0.7667	0.8683
PPCC_jug	3	2318	0.8498	0.8498	0.8498	0.8498	0.8498	0.8608	0.8931	0.9297	0.9596	0.3060	0.3060	0.3060	0.3060	0.3060	0.4270	0.5642	0.6122	0.8693
PPCC_marshmallow	3	1072	0.5519	0.7199	0.6221	0.6317	0.5519	0.4623	0.9125	0.8804	0.9275	0.2358	0.6145	0.4541	0.4638	0.2358	0.3763	0.8933	0.8479	0.9219
