task,baseline,fast,slow
put both the alphabet soup and the tomato sauce in the basket,0.4839,0.3214,0.4232
put both the cream cheese box and the butter in the basket,0.7287,0.6999,0.6629
turn on the stove and put the moka pot on it,0.4434,0.383,0.3818
put the black bowl in the bottom drawer of the cabinet and close it,0.3195,0.2503,0.2935
put the white mug on the left plate and put the yellow and white mug on the right plate,0.4505,0.3596,0.4087
pick up the book and place it in the back compartment of the caddy,0.541,0.5407,0.5033
put the white mug on the plate and put the chocolate pudding to the right of the plate,0.4409,0.3202,0.3941
put both the alphabet soup and the cream cheese box in the basket,0.5666,0.5354,0.4233
put both moka pots on the stove,0.3726,0.2693,0.2504
put the yellow and white mug in the microwave and close it,0.3757,0.2816,0.2457
