scene_idx	scene	cand_idx	base_seed	episode_idx	probe_order	rollout_order
0	100000	0	1056329423	0	0	90
0	100000	1	211738540	1	7	68
0	100000	2	1711273855	2	6	67
0	100000	3	270991257	3	2	116
0	100000	4	1834797743	4	4	107
0	100000	5	1458509332	5	5	135
0	100000	6	931945605	6	3	64
0	100000	7	694431851	7	1	6
1	100003	0	1269397663	8	2	100
1	100003	1	98115585	9	4	54
1	100003	2	1339579896	10	7	65
1	100003	3	1708830570	11	6	23
1	100003	4	1889385170	12	1	59
1	100003	5	1557469770	13	0	128
1	100003	6	1516454800	14	5	87
1	100003	7	524866481	15	3	13
2	100005	0	1504096282	16	4	34
2	100005	1	207022311	17	7	48
2	100005	2	1391953737	18	5	16
2	100005	3	790153108	19	2	32
2	100005	4	2068200291	20	3	91
2	100005	5	1096293241	21	1	83
2	100005	6	262737312	22	6	39
2	100005	7	1395744604	23	0	120
3	100006	0	797017323	24	5	155
3	100006	1	1087462227	25	1	56
3	100006	2	2070740653	26	6	36
3	100006	3	1409463317	27	3	0
3	100006	4	205710049	28	7	76
3	100006	5	2079068634	29	2	103
3	100006	6	722382630	30	4	130
3	100006	7	673905631	31	0	113
4	100009	0	1162299059	32	4	133
4	100009	1	1315226035	33	6	8
4	100009	2	1124623983	34	1	96
4	100009	3	895151487	35	2	95
4	100009	4	318741086	36	7	158
4	100009	5	1299285998	37	3	27
4	100009	6	2131785188	38	5	109
4	100009	7	689490792	39	0	157
5	100010	0	1727042259	40	5	101
5	100010	1	1780805233	41	3	60
5	100010	2	598892778	42	6	126
5	100010	3	1095551472	43	4	15
5	100010	4	1308302181	44	2	85
5	100010	5	495919110	45	0	141
5	100010	6	1750856013	46	7	42
5	100010	7	184768472	47	1	62
6	100011	0	337577575	48	4	19
6	100011	1	1278879480	49	0	45
6	100011	2	1128272586	50	7	146
6	100011	3	678738817	51	5	125
6	100011	4	617434851	52	1	14
6	100011	5	2106627539	53	6	46
6	100011	6	1870119985	54	2	131
6	100011	7	141519129	55	3	143
7	100012	0	180797207	56	2	41
7	100012	1	1743362742	57	7	78
7	100012	2	486605240	58	4	52
7	100012	3	216925502	59	1	89
7	100012	4	1538033518	60	5	145
7	100012	5	309754357	61	3	50
7	100012	6	568276008	62	0	154
7	100012	7	1447868469	63	6	104
8	100016	0	1752670418	64	3	105
8	100016	1	1027419957	65	7	26
8	100016	2	910995928	66	0	55
8	100016	3	569081375	67	5	66
8	100016	4	1438458403	68	1	31
8	100016	5	905386729	69	4	58
8	100016	6	976823780	70	6	117
8	100016	7	1668069964	71	2	139
9	100018	0	143721885	72	2	115
9	100018	1	1404792491	73	6	81
9	100018	2	922594771	74	3	142
9	100018	3	1950892269	75	7	37
9	100018	4	1944575072	76	5	53
9	100018	5	1528601200	77	1	136
9	100018	6	1885833674	78	4	20
9	100018	7	1974018688	79	0	77
10	100020	0	2130026969	80	6	24
10	100020	1	499429346	81	3	17
10	100020	2	1450509109	82	1	47
10	100020	3	1967739830	83	2	70
10	100020	4	1428207435	84	5	152
10	100020	5	546310027	85	0	106
10	100020	6	686238158	86	4	38
10	100020	7	1422964125	87	7	110
11	100022	0	1560273554	88	3	144
11	100022	1	1546488195	89	1	80
11	100022	2	809561251	90	2	79
11	100022	3	479246609	91	0	72
11	100022	4	1493618629	92	6	99
11	100022	5	1102728918	93	5	97
11	100022	6	1272938775	94	7	7
11	100022	7	1454721044	95	4	9
12	100023	0	498435991	96	5	138
12	100023	1	1994620766	97	4	30
12	100023	2	1216894410	98	0	149
12	100023	3	458454434	99	1	122
12	100023	4	519414983	100	6	63
12	100023	5	227354305	101	2	2
12	100023	6	1210128538	102	7	118
12	100023	7	1306900166	103	3	156
13	100025	0	1987606746	104	5	22
13	100025	1	272755238	105	4	29
13	100025	2	313422836	106	2	18
13	100025	3	2141941944	107	0	151
13	100025	4	1930354428	108	1	98
13	100025	5	1857846205	109	6	111
13	100025	6	295893114	110	3	33
13	100025	7	1333971045	111	7	127
14	100026	0	408384420	112	1	43
14	100026	1	307220068	113	4	57
14	100026	2	895842645	114	2	92
14	100026	3	176396399	115	6	93
14	100026	4	1055572975	116	7	119
14	100026	5	1898784780	117	0	150
14	100026	6	1444443465	118	3	61
14	100026	7	468549188	119	5	123
15	100031	0	327771760	120	6	88
15	100031	1	267415136	121	4	35
15	100031	2	1706460680	122	1	25
15	100031	3	129238719	123	0	112
15	100031	4	1106527743	124	2	108
15	100031	5	108497801	125	3	82
15	100031	6	177911124	126	7	11
15	100031	7	2045143965	127	5	94
16	100033	0	1720403460	128	3	159
16	100033	1	165998150	129	7	74
16	100033	2	812140748	130	0	140
16	100033	3	102708925	131	4	75
16	100033	4	846462747	132	5	102
16	100033	5	668580020	133	1	3
16	100033	6	630439249	134	6	121
16	100033	7	1219166048	135	2	51
17	100034	0	1558709597	136	5	71
17	100034	1	1536756354	137	6	49
17	100034	2	165106275	138	0	124
17	100034	3	1467869991	139	3	21
17	100034	4	1318524796	140	2	132
17	100034	5	867804343	141	1	12
17	100034	6	131535006	142	4	69
17	100034	7	1942152119	143	7	10
18	100035	0	671939520	144	1	137
18	100035	1	1458612574	145	4	148
18	100035	2	626558721	146	7	134
18	100035	3	1008692382	147	2	147
18	100035	4	1186975017	148	3	86
18	100035	5	1464866263	149	5	40
18	100035	6	1388315900	150	6	1
18	100035	7	1426982721	151	0	129
19	100039	0	316261136	152	3	44
19	100039	1	46901186	153	2	28
19	100039	2	1173687709	154	1	114
19	100039	3	2029675135	155	4	153
19	100039	4	44167960	156	7	5
19	100039	5	899874886	157	6	84
19	100039	6	938395184	158	5	73
19	100039	7	164534536	159	0	4
