rel	key	s	j	n	succ	no_failure	t_fail	frame	fps	frames_total	type	n_marks	marks	note	by	updated_at	sig
4fa6496cd684/worker2/PPCC/marshmallow/s3/j4/n0/base	PPCC/marshmallow	3	4	0	0	0	1.75	35	20	360	collision_stuck	1	"[{""t"": 1.75, ""frame"": 35, ""type"": ""collision_stuck"", ""note"": """"}]"	다른물체에 부딪힘		2026-09-14T08:00:28.077Z	6fa3705450ba34b7
4fa6496cd684/worker2/PPCC/marshmallow/s3/j4/n1/base	PPCC/marshmallow	3	4	1	1	0	1.65	33	20	160	collision_stuck	1	"[{""t"": 1.65, ""frame"": 33, ""type"": ""collision_stuck"", ""note"": """"}]"	다른 물체에 부딪힘		2026-09-14T08:01:31.928Z	f05dbef1446481fc
4fa6496cd684/worker2/PPCC/marshmallow/s3/j4/n2/base	PPCC/marshmallow	3	4	2	1	0	1.65	33	20	360	collision_stuck	1	"[{""t"": 1.65, ""frame"": 33, ""type"": ""collision_stuck"", ""note"": """"}]"	다른 물체에 부딪힘		2026-09-14T08:01:44.716Z	106bcff63659ca49
4fa6496cd684/worker2/PPCC/marshmallow/s3/j4/n3/base	PPCC/marshmallow	3	4	3	0	0	1.6	32	20	360	collision_stuck	1	"[{""t"": 1.6, ""frame"": 32, ""type"": ""collision_stuck"", ""note"": """"}]"	다른 물체에 부딪힘		2026-09-14T08:00:45.191Z	5b4e55d156bf868c
4fa6496cd684/worker2/PPCC/marshmallow/s3/j4/n4/base	PPCC/marshmallow	3	4	4	0	0	1.5	30	20	360	collision_stuck	1	"[{""t"": 1.5, ""frame"": 30, ""type"": ""collision_stuck"", ""note"": """"}]"	다른 물체에 부딪힘		2026-09-14T08:00:54.878Z	ced9221044cba2cc
4fa6496cd684/worker2/PPCC/marshmallow/s3/j4/n5/base	PPCC/marshmallow	3	4	5	1	0	1.5	30	20	345	collision_stuck	1	"[{""t"": 1.5, ""frame"": 30, ""type"": ""collision_stuck"", ""note"": """"}]"	다른 물체에 부딪힘		2026-09-14T08:01:55.367Z	810a6859b13cd7ca
4fa6496cd684/worker2/PPCC/marshmallow/s3/j4/n6/base	PPCC/marshmallow	3	4	6	1	0	1.6	32	20	173	collision_stuck	1	"[{""t"": 1.6, ""frame"": 32, ""type"": ""collision_stuck"", ""note"": """"}]"	다른 물체에 부딪힘		2026-09-14T08:02:16.079Z	397c4593a388f57f
4fa6496cd684/worker2/PPCC/marshmallow/s3/j4/n7/base	PPCC/marshmallow	3	4	7	1	0	1.55	31	20	188	collision_stuck	1	"[{""t"": 1.55, ""frame"": 31, ""type"": ""collision_stuck"", ""note"": """"}]"	다른 물체에 부딪힘		2026-09-14T08:02:30.035Z	2223720eb249a744
4fa6496cd684/worker2/PPCC/marshmallow/s3/j4/n8/base	PPCC/marshmallow	3	4	8	0	0	1.45	29	20	360	collision_stuck	1	"[{""t"": 1.45, ""frame"": 29, ""type"": ""collision_stuck"", ""note"": """"}]"	다른 물체에 부딪힘		2026-09-14T08:02:38.639Z	79f08a1a09c1a9c7
4fa6496cd684/worker2/PPCC/marshmallow/s3/j4/n9/base	PPCC/marshmallow	3	4	9	0	0	1.8	36	20	360	collision_stuck	1	"[{""t"": 1.8, ""frame"": 36, ""type"": ""collision_stuck"", ""note"": """"}]"	다른 물체에 부딪힘		2026-09-14T08:02:45.673Z	cef0e401953916ab
4fa6496cd684/worker2/PPCC/marshmallow/s4/j2/n0/base	PPCC/marshmallow	4	2	0	0	0	2.25	45	20	360	collision_stuck	1	"[{""t"": 2.25, ""frame"": 45, ""type"": ""collision_stuck"", ""note"": """"}]"	다른 물체에 부딪힘		2026-09-14T08:02:56.698Z	42dab123a5c748f4
4fa6496cd684/worker2/PPCC/marshmallow/s4/j2/n1/base	PPCC/marshmallow	4	2	1	1	0	2.2	44	20	278		1	"[{""t"": 2.2, ""frame"": 44, ""type"": null, ""note"": """"}]"	다른 물체에 부딪힘		2026-09-14T08:03:06.621Z	628e8066222b0abd
